Timestep,Node_0
0,44.00471464000247579
1,44.00471464000247579
2,44.00471464000247579
3,44.00471464000247579
4,44.00471464000247579
5,44.00471464000247579
6,44.00471464000247579
7,44.00471464000247579
8,44.00471464000247579
9,44.00471464000247579
10,44.00471464000247579
11,38.108082878242143465
12,38.108082878242143465
13,38.108082878242143465
14,38.108082878242143465
15,38.108082878242143465
16,38.108082878242143465
17,38.108082878242143465
18,44.00471464000247579
19,44.00471464000247579
20,44.00471464000247579
21,44.00471464000247579
22,44.00471464000247579
23,44.00471464000247579
