Timestep,Node_0
0,34200.258089999944787
1,34686.625439999967057
2,31940.146190000035858
3,28938.626930000016728
4,26612.548560000042926
5,25049.672969999988709
6,23289.778920000018843
7,21438.620889999983774
8,20185.344380000020465
9,20359.210700000003271
10,22208.466550000015559
11,24587.519610000032117
12,24620.681980000012118
13,25192.236600000011094
14,25021.167559999983496
15,24624.77690999997867
16,24104.597120000024006
17,23892.764769999987038
18,24187.797449999990931
19,24572.379640000002837
20,24676.555519999954413
21,25332.994319999983418
22,28652.539870000011433
23,29079.184590000008029
