busID,demand
ES00001,0.0018616220074261607
ES00002,0.0018362100074261606
ES00003,0.0036090430074261605
ES00004,0.0036090430074261605
ES00005,0.0038796660074261603
ES00006,0.0005400890074261606
ES00007,0.0005400890074261606
ES00008,9.363265301465914e-05
ES00009,9.363265301465914e-05
ES00010,4.111361707179607e-06
ES00011,0.0007293990074261606
ES00012,0.0007293990074261606
ES00013,0.00023462000742616057
ES00014,0.00023462000742616057
ES00015,0.0040610780074261605
ES00016,0.0002675710074261606
ES00017,0.0003327490074261606
ES00018,9.850182897228254e-05
ES00019,9.850182897228254e-05
ES00020,0.0025100830074261606
ES00021,0.0025100830074261606
ES00022,0.00595768200742616
ES00023,0.0031011500074261604
ES00024,0.0011146450074261606
ES00025,1.3904547831038594e-06
ES00026,0.0003452730074261606
ES00027,0.0006232300074261606
ES00028,0.0003200020074261606
ES00029,0.0003200020074261606
ES00030,2.1530613658160933e-05
ES00031,2.1530613658160933e-05
ES00032,0.0003231280074261606
ES00033,0.0003231280074261606
ES00034,0.00018988600742616058
ES00035,0.00018988600742616058
ES00036,5.915761780917436e-05
ES00037,2.560159468213195e-05
ES00038,0.00013157200742616056
ES00039,0.00013157200742616056
ES00040,9.91006716060856e-05
ES00041,9.91006716060856e-05
ES00042,2.7621593829908788e-05
ES00043,2.7621593829908788e-05
ES00044,7.743288818184173e-05
ES00045,0.00047939500742616057
ES00046,0.00047939500742616057
ES00047,0.0011723440074261607
ES00048,0.014364872007426161
ES00049,6.57212822285429e-06
ES00050,6.57212822285429e-06
ES00051,0.0004906230074261606
ES00052,0.0035319370074261606
ES00053,0.0035319370074261606
ES00054,0.00015034000742616057
ES00055,0.00015034000742616057
ES00056,9.897634691368339e-05
ES00057,0.0004542200074261606
ES00058,0.0004542200074261606
ES00059,0.00011150600742616058
ES00060,1.706785455001291e-06
ES00061,1.706785455001291e-06
ES00062,0.0003375600074261606
ES00063,2.549910830122943e-05
ES00064,2.549910830122943e-05
ES00065,7.886654899321185e-05
ES00066,7.886654899321185e-05
ES00067,2.7048907694770583e-06
ES00068,1.9877123891943652e-06
ES00069,4.003152773496728e-06
ES00070,0.0003688500074261606
ES00071,0.0003688500074261606
ES00072,0.0003841330074261606
ES00073,0.00014185700742616058
ES00074,0.00014185700742616058
ES00075,6.773497879962403e-05
ES00076,1.566705892742896e-05
ES00077,0.01621807724255916
ES00078,0.01621807724255916
ES00079,1.3184378899470745e-05
ES00080,6.031866554254855e-06
ES00081,9.154188490343138e-05
ES00082,9.154188490343138e-05
ES00083,0.0032944900074261606
