Timestep,Reservoir_FR_0,Reservoir_ES_0,Hydro|pumped_storage_ES_0,Pumped Storage_FR_0,Lithium-Ion_FR_0,Lithium-Ion_PT_0
0,6055160.6706890296191,4923796.7842955095693,0,18545.507334339999943,0,0
1,6072274.2153780590743,4924882.5045910188928,0,37091.014668679999886,0,0
2,6089387.7600670885295,4925968.2248865282163,0,55636.522003019999829,0,0
3,6106501.3047561179847,4927053.9451820375398,0,74182.029337359999772,0,0
4,6123614.8494451474398,4928139.6654775468633,0,92727.536671699999715,5427.2358008819028328,0
5,6140728.394134176895,4929225.3857730561867,0,111273.04400603999966,14288.14081919340606,0
6,6157841.9388232063502,4930311.1060685655102,0,129818.5513403799996,21641.603208673444897,0
7,6174955.4835122358054,4931396.8263640748337,0,148364.05867471999954,21641.603208673444897,0
8,6192069.0282012652606,4932482.5466595841572,0,166909.56600906001404,21641.603208673444897,0
9,6209182.5728902947158,4933568.2669550934806,0,185455.07334340002853,32598.821003971508617,0
10,6226296.1175793241709,4934653.9872506028041,0,204000.58067774004303,54283.505152134690434,0
11,6243409.6622683536261,4935739.7075461121276,0,222546.08801208005752,103120.42072451984859,0
12,6260523.2069573830813,4936825.4278416214511,0,241091.59534642007202,159864.3284933216637,0
13,6277636.7516464125365,4937911.1481371307746,0,259637.10268076008651,230346.17134273174452,0
14,6294750.2963354419917,4938996.868432640098,0,278182.61001510010101,302263.89409853401594,0
15,6311863.8410244714469,4940082.5887281494215,0,296728.1173494401155,352768.49744655692484,0
16,6328977.3857135009021,4941168.309023658745,0,315273.62468378013,387909.01659999997355,0
17,6346090.9304025303572,4942254.0293191680685,0,333819.13201812014449,387909.01659999997355,0
18,6363204.4750915598124,4943339.7496146773919,0,335488.36672286130488,387909.01659999997355,0
19,6380318.0197805892676,4944425.4699101867154,0,342191.8882131492137,346808.8586916346685,0
20,6397431.5644696187228,4945511.1902056960389,0,360737.39554748922819,282243.72658100782428,0
21,6414545.109158648178,4946596.9105012053624,0,379282.90288182924269,219647.53373484883923,0
22,6431658.6538476776332,4947682.6307967146859,0,379282.90288182924269,192610.8466450368287,0
23,6448772.1985367070884,4948768.3510922240093,0,379282.90288182924269,165472.21685756513034,0
24,6465885.7432257365435,4949854.0713877333328,0,379282.90288182924269,145783.27279009690392,0
25,6482999.2879147659987,4950939.7916832426563,0,397828.41021616925718,117301.49484611224034,0
26,6500112.8326037954539,4952025.5119787519798,0,397828.41021616925718,113192.38254210932064,0
27,6517226.3772928249091,4953111.2322742613032,0,403084.96145895286463,113192.38254210932064,0
28,6534339.9219818543643,4954196.9525697706267,0,421630.46879329287913,107820.63103189473622,0
29,6551453.4666708838195,4955282.6728652799502,0,440175.97612763289362,109843.3484582908859,0
30,6568567.0113599132746,4956368.3931607892737,0,458570.22729230258847,109843.3484582908859,0
31,6585680.5560489427298,4957454.1134562985972,0,477115.73462664260296,109964.04139972951089,0
32,6602794.100737972185,4958539.8337518079206,0,495661.24196098261746,120961.35612031923665,0
33,6619907.6454270016402,4959625.5540473172441,0,514206.74929532263195,145778.0654723480111,0
34,6637021.1901160310954,4960711.2743428265676,0,532752.25662966258824,162633.57826158424723,0
35,6654134.7348050605506,4961796.9946383358911,0,551297.76396400260273,184243.89645119727356,0
36,6671248.2794940900058,4962882.7149338452145,0,569843.27129834261723,215098.05396271325299,0
37,6688361.8241831194609,4963968.435229354538,0,588388.77863268263172,236609.82051113829948,0
38,6705475.3688721489161,4965054.1555248638615,0,606934.28596702264622,252783.11139684030786,0
39,6722588.9135611783713,4966139.875820373185,0,625479.79330136266071,255857.25839280191576,0
40,6739702.4582502078265,4967225.5961158825085,0,644025.30063570267521,247544.08252882215311,0
41,6756816.0029392372817,4968311.3164113918319,0,662570.8079700426897,223797.87071281543467,0
42,6773929.5476282667369,4969397.0367069011554,0,681116.3153043827042,188966.63677591810119,0
43,6791043.092317296192,4970482.7570024104789,0,681116.3153043827042,163339.15863101309515,0
44,6808156.6370063256472,4971568.4772979198024,0,681116.3153043827042,136192.16017936306889,0
45,6825270.1816953551024,4972654.1975934291258,0,699661.82263872271869,94284.471447700081626,0
46,6842383.7263843845576,4973739.9178889384493,0,699661.82263872271869,69638.096892701330944,0
47,6859497.2710734140128,4974825.6381844477728,0,718207.32997306273319,27165.511696523029968,0
48,6876610.815762443468,4975911.3584799570963,0,736752.83730740274768,2919.8730566308877314,0
49,6893724.3604514729232,4976997.0787754664198,0,755298.34464174276218,0,0
50,6910837.9051405023783,4978082.7990709757432,0,773843.85197608277667,0,0
51,6927951.4498295318335,4979168.5193664850667,0,792389.35931042279117,0,0
52,6945064.9945185612887,4980254.2396619943902,0,810934.86664476280566,5592.1377619644845254,0
53,6962178.5392075907439,4981339.9599575037137,0,829480.37397910282016,15632.877353103176574,0
54,6979292.0838966201991,4982425.6802530130371,0,848025.88131344283465,26241.137149848742411,0
55,6996405.6285856496543,4983511.4005485223606,0,866571.38864778284915,39078.074393201386556,0
56,7013519.1732746791095,4984597.1208440316841,0,885116.89598212286364,54136.519480203001876,0
57,7030632.7179637085646,4985682.8411395410076,0,903662.40331646287814,78995.378330843101139,0
58,7047746.2626527380198,4986768.5614350503311,0,922207.91065080289263,98959.526093679742189,0
59,7064859.807341767475,4987854.2817305596545,0,940753.41798514290713,133139.78876599908108,0
60,7081973.3520307969302,4988940.002026068978,0,959298.92531948292162,189639.05435651121661,0
61,7099086.8967198263854,4990025.7223215783015,0,977844.43265382293612,252891.88734917421243,0
62,7116200.4414088558406,4991111.442617087625,0,996389.93998816295061,316777.51497330667917,0
63,7133313.9860978852957,4992197.1629125969484,0,1014935.4473225029651,367419.23673324717674,0
64,7150427.5307869147509,4993282.8832081062719,0,1033480.9546568429796,387909.01659999997355,0
65,7167541.0754759442061,4994368.6035036155954,0,1042104.4192377618747,387909.01659999997355,0
66,7161701.9157344633713,4995454.3237991249189,0,1042104.4192377618747,387909.01659999997355,0
67,7136898.4400934930891,4996540.0440946342424,0,1020689.2837477618596,382702.93998510978417,0
68,7112094.9644525228068,4997625.7643901435658,0,999274.14825776184443,363368.401540265535,0
69,7087291.4888115525246,4998711.4846856528893,0,977859.01276776182931,342299.91522601654287,0
70,7062488.0131705822423,4999797.2049811622128,0,956443.87727776181418,317788.35136935359333,0
71,7037684.5375296119601,5000882.9252766715363,0,935028.74178776179906,287395.97791202715598,0
72,7012881.0618886416778,5001968.6455721808597,0,913613.60629776178394,268295.05579115636647,0
73,6988077.5862476713955,5003054.3658676901832,0,892198.47080776176881,264008.79750932467869,0
74,6963274.1106067011133,5004140.0861631995067,0,870783.33531776175369,264008.79750932467869,0
75,6938470.634965730831,5005225.8064587088302,0,860646.91325226472691,264008.79750932467869,0
76,6929288.7346781389788,5006311.5267542181537,0,839231.77776226471178,264008.79750932467869,0
77,6928774.2077655447647,5007397.2470497274771,0,817816.64227226469666,264008.79750932467869,0
78,6930833.417111415416,5008482.9673452368006,0,796401.50678226468153,264008.79750932467869,0
79,6928314.9039599765092,5009568.6876407461241,0,774986.37129226466641,264008.79750932467869,0
80,6945428.4486490059644,5010654.4079362554476,0,761327.97177321638446,264008.79750932467869,0
81,6962541.9933380354196,5011740.128231764771,0,761327.97177321638446,264008.79750932467869,0
82,6979655.5380270648748,5012825.8485272740945,0,761327.97177321638446,267740.02964760852046,0
83,6996769.08271609433,5013911.568822783418,0,761327.97177321638446,281856.19653350347653,0
84,7013882.6274051237851,5014997.2891182927415,0,761327.97177321638446,293680.44753019197378,0
85,7030996.1720941532403,5016083.009413802065,0,761327.97177321638446,300077.09808972745668,0
86,7048109.7167831826955,5017168.7297093113884,0,761327.97177321638446,300077.09808972745668,0
87,7065223.2614722121507,5018254.4500048207119,0,761327.97177321638446,300077.09808972745668,0
88,7075470.7016871199012,5019340.1703003300354,0,739912.83628321636934,300077.09808972745668,0
89,7050667.2260461496189,5020425.8905958393589,0,718497.70079321635421,300077.09808972745668,0
90,7025863.7504051793367,5021511.6108913486823,0,697082.56530321633909,284119.22995522711426,0
91,7001060.2747642090544,5022597.3311868580058,0,675667.42981321632396,246627.16555858531501,0
92,6976256.7991232387722,5023683.0514823673293,0,654252.29432321630884,207621.29030970783788,0
93,6951453.3234822684899,5024768.7717778766528,0,632837.15883321629371,175410.45729994756402,0
94,6926649.8478412982076,5025854.4920733859763,0,611422.02334321627859,149350.75849332724465,0
95,6901846.3722003279254,5026940.2123688952997,0,590006.88785321626347,126632.29335224709939,0
96,6877042.8965593576431,5028025.9326644046232,0,568591.75236321624834,119362.38582080017659,0
97,6863932.9651482077315,5029111.6529599139467,0,547176.61687321623322,119362.38582080017659,0
98,6839129.4895072374493,5030197.3732554232702,0,545512.29066133347806,119362.38582080017659,0
99,6825372.0571980755776,5031283.0935509325936,0,545512.29066133347806,119362.38582080017659,0
100,6819904.812397078611,5032368.8138464419171,0,545512.29066133347806,119362.38582080017659,0
101,6836516.3464802410454,5033454.5341419512406,0,528265.54977448366117,119362.38582080017659,0
102,6853629.8911692705005,5034540.2544374605641,0,510794.75633683096385,119362.38582080017659,0
103,6867281.2336705541238,5035625.9747329698876,0,489379.62084683094872,119362.38582080017659,0
104,6880395.1115533849224,5036711.695028479211,0,467964.4853568309336,119362.38582080017659,0
105,6855591.6359124146402,5037797.4153239885345,0,467964.4853568309336,119362.38582080017659,0
106,6862543.5479045594111,5038883.135619497858,0,446549.34986683091847,119362.38582080017659,0
107,6860743.0370248341933,5039968.8559150071815,0,446549.34986683091847,119362.38582080017659,0
108,6877856.5817138636485,5041054.5762105165049,0,446549.34986683091847,119362.38582080017659,0
109,6894970.1264028931037,5042140.2965060258284,0,446549.34986683091847,119362.38582080017659,0
110,6912083.6710919225588,5043226.0168015351519,0,446549.34986683091847,119362.38582080017659,0
111,6929197.215780952014,5044311.7370970444754,0,446549.34986683091847,119362.38582080017659,0
112,6946310.7604699814692,5045397.4573925537989,0,446465.18655526149087,119362.38582080017659,0
113,6958953.7615669425577,5046483.1776880631223,0,425050.05106526147574,119362.38582080017659,0
114,6934150.2859259722754,5047568.8979835724458,0,403634.91557526146062,119362.38582080017659,0
115,6909346.8102850019932,5048654.6182790817693,0,382219.78008526144549,91022.781298990390496,0
116,6884543.3346440317109,5049740.3385745910928,0,360804.64459526143037,61826.263315527081431,0
117,6859739.8590030614287,5050826.0588701004162,0,339389.50910526141524,39078.219853553709981,0
118,6834936.3833620911464,5051911.7791656097397,0,317974.37361526140012,19980.738716265870607,0
119,6810132.9077211208642,5052997.4994611190632,0,296559.23812526138499,3016.9686636875267141,0
120,6785329.4320801505819,5054083.2197566283867,0,275144.10263526136987,0,0
121,6760525.9564391802996,5055168.9400521377102,0,271336.89137403306086,0,0
122,6763189.539349284023,5056254.6603476470336,0,249921.75588403304573,0,0
123,6780303.0840383134782,5057340.3806431563571,0,228506.62039403305971,0,0
124,6789575.398745579645,5058426.1009386656806,0,228506.62039403305971,0,0
125,6806688.9434346091002,5059511.8212341750041,0,228506.62039403305971,0,0
126,6823802.4881236385554,5060597.5415296843275,0,228506.62039403305971,0,0
127,6840916.0328126680106,5061683.261825193651,0,228506.62039403305971,691.71600134091852397,0
128,6858029.5775016974658,5062768.9821207029745,0,228506.62039403305971,22962.515190982016065,0
129,6875143.122190726921,5063854.702416212298,0,228506.62039403305971,67407.019338227852131,0
130,6892256.6668797563761,5064940.4227117216215,0,235566.49039000004996,112580.19913450212334,0
131,6909370.2115687858313,5066026.1430072309449,0,235566.49039000004996,174859.63360450111213,0
132,6926483.7562578152865,5067111.8633027402684,0,235566.49039000004996,240713.31936873871018,47.257633136890305536
133,6943597.3009468447417,5068197.5835982495919,0,235566.49039000004996,305517.85231925867265,504.82599764653133434
134,6960710.8456358741969,5069283.3038937589154,0,235566.49039000004996,352482.24922986538149,1102.4270504109315425
135,6977824.3903249036521,5070369.0241892682388,0,235566.49039000004996,385306.33284853893565,1102.4270504109315425
136,6994937.9350139331073,5071454.7444847775623,0,235566.49039000004996,387909.01659999997355,1102.4270504109315425
137,7001302.037265682593,5072540.4647802868858,0,214151.35490000003483,387909.01659999997355,1102.4270504109315425
