Timestep,Reservoir_FR_0,Reservoir_ES_0,Hydro|pumped_storage_ES_0,Pumped Storage_FR_0,Lithium-Ion_FR_0,Lithium-Ion_PT_0
0,6016415.3831332307309,4923512.4934450639412,0,0,0,0
1,5994783.6402664603665,4924313.9228901276365,0,0,0,0
2,5973151.8973996900022,4925115.3523351913318,0,0,0,0
3,5951520.1545329196379,4925916.7817802550271,0,0,0,0
4,5929888.4116661492735,4926718.2112253187224,0,0,0,0
5,5908256.6687993789092,4927519.6406703824177,0,0,0,0
6,5886624.9259326085448,4928321.070115446113,0,0,0,0
7,5864993.1830658381805,4929122.4995605098084,0,0,0,0
8,5847578.2346512032673,4929923.9290055735037,0,0,0,0
9,5860358.2861029431224,4930725.358450637199,0,0,0,0
10,5880643.5635661734268,4931526.7878957008943,0,0,13219.713882253978227,0
11,5900928.8410294037312,4932328.2173407645896,0,0,42901.819829536223551,0
12,5921214.1184926340356,4933129.6467858282849,0,0,84331.146367030538386,0
13,5941499.3959558643401,4933931.0762308919802,0,0,125968.85009710662416,0
14,5961784.6734190946445,4934732.5056759556755,0,0,159214.7430353933014,0
15,5982069.9508823249489,4935533.9351210193709,0,0,179925.20641957886983,0
16,5995201.3491024347022,4936335.3645660830662,0,0,179925.20641957886983,0
17,5979288.4549498967826,4937136.7940111467615,0,0,175084.8871165161836,0
18,5957656.7120831264183,4937938.2234562104568,0,0,155425.12323692211066,0
19,5936024.9692163560539,4938739.6529012741521,0,0,127733.87370180583093,0
20,5914393.2263495856896,4939541.0823463378474,0,0,109305.81148876203224,0
21,5892761.4834828153253,4940342.5117914015427,0,0,97222.707867524004541,0
22,5871129.7406160449609,4941143.941236465238,0,0,71735.156621946982341,0
23,5849497.9977492745966,4941945.3706815289333,0,0,44493.166324334102683,0
24,5827866.2548825042322,4942746.8001265926287,0,0,22581.480218351913209,0
25,5806234.5120157338679,4943548.229571656324,0,0,11206.854692235294351,0
26,5784602.7691489635035,4944349.6590167200193,0,0,1590.9431339890725212,0
27,5762971.0262821931392,4945151.0884617837146,0,0,0,0
28,5746248.8893165616319,4945952.5179068474099,0,0,0,0
29,5734508.8113050488755,4946753.9473519111052,0,0,0,0
30,5721687.3065141774714,4947555.3767969748005,0,0,0,0
31,5708529.0293325698003,4948356.8062420384958,0,0,0,0
32,5716987.1456772116944,4949158.2356871021912,0,0,0,0
33,5737272.4231404419988,4949959.6651321658865,0,18545.507334339999943,288.14991900630082,0
34,5757557.7006036723033,4950761.0945772295818,0,37091.014668679999886,29960.097559279558482,0
35,5777842.9780669026077,4951562.5240222932771,0,55636.522003019999829,83609.095468747604173,0
36,5798128.2555301329121,4952363.9534673569724,0,68070.421754801296629,160741.02496886521112,0
37,5818413.5329933632165,4953165.3829124206677,0,86615.929089141296572,229739.19434027414536,0
38,5838698.8104565935209,4953966.812357484363,0,105161.43642348129652,291986.77550613507628,0
39,5858984.0879198238254,4954768.2418025480583,0,123706.94375782129646,332487.38950783177279,0
40,5879269.3653830541298,4955569.6712476117536,0,142252.4510921612964,344822.80582769750617,0
41,5899554.6428462844342,4956371.100692675449,0,142252.4510921612964,338008.49176260462264,0
42,5919839.9203095147386,4957172.5301377391443,0,142252.4510921612964,304413.40912080812268,0
43,5940125.197772745043,4957973.9595828028396,0,142252.4510921612964,257062.56261364862439,0
44,5960410.4752359753475,4958775.3890278665349,0,142252.4510921612964,215686.30335513004684,0
45,5980695.7526992056519,4959576.8184729302302,0,142252.4510921612964,179111.97620208398439,0
46,6000981.0301624359563,4960378.2479179939255,0,142252.4510921612964,137070.89062530681258,0
47,6021266.3076256662607,4961179.6773630576208,0,142252.4510921612964,91076.98043986511766,0
48,6041551.5850888965651,4961981.1068081213161,0,142252.4510921612964,54603.85738977836445,0
49,6061836.8625521268696,4962782.5362531850114,0,142252.4510921612964,29762.427733120657649,0
50,6082122.140015357174,4963583.9656982487068,0,142252.4510921612964,11146.818994840017695,0
51,6102407.4174785874784,4964385.3951433124021,0,142252.4510921612964,2269.2963841920354753,0
52,6122692.6949418177828,4965186.8245883760974,0,142252.4510921612964,0,0
53,6142977.9724050480872,4965988.2540334397927,0,145276.08839588431874,0,0
54,6163263.2498682783917,4966789.683478503488,0,146734.61038833676139,0,0
55,6183548.5273315086961,4967591.1129235671833,0,153765.83167700035847,0,0
56,6203833.8047947390005,4968392.5423686308786,0,172311.33901134034386,0,0
57,6224119.0822579693049,4969193.9718136945739,0,190856.84634568035835,0,0
58,6244404.3597211996093,4969995.4012587582693,0,209402.35368002037285,33054.242778609106608,0
59,6264689.6371844299138,4970796.8307038219646,0,227947.86101436038734,89969.815732461254811,0
60,6284974.9146476602182,4971598.2601488856599,0,246493.36834870040184,160632.74297202914022,544.77509739152094426
61,6305260.1921108905226,4972399.6895939493552,853.7522707795299084,265038.87568304041633,224560.60570809312048,3327.4238508415205615
62,6325545.469574120827,4973201.1190390130505,1818.1807577760150707,283584.38301738043083,273856.37209468171932,6110.0726042915202925
63,6345830.7470373511314,4974002.5484840767458,1818.1807577760150707,302129.89035172044532,293354.90660620050039,8039.3912974383392793
64,6366116.0245005814359,4974803.9779291404411,1818.1807577760150707,320675.39768606045982,293354.90660620050039,8039.3912974383392793
65,6386401.3019638117403,4975605.4073742041364,1818.1807577760150707,320675.39768606045982,293354.90660620050039,8039.3912974383392793
66,6406686.5794270420447,4976406.8368192678317,1818.1807577760150707,320675.39768606045982,275034.6637122046086,8039.3912974383392793
67,6426971.8568902723491,4977208.2662643315271,1818.1807577760150707,320675.39768606045982,237838.68586985446746,8039.3912974383392793
68,6447257.1343535026535,4978009.6957093952224,1818.1807577760150707,320675.39768606045982,205658.93029790060245,8039.3912974383392793
69,6467542.411816732958,4978811.1251544589177,1818.1807577760150707,320675.39768606045982,179135.51123173104133,8039.3912974383392793
70,6487827.6892799632624,4979612.554599522613,1326.2163874261823366,320675.39768606045982,150235.09627048255061,5357.4409224598830406
71,6508112.9667431935668,4980413.9840445863083,1326.2163874261823366,320675.39768606045982,113744.23069784244581,2978.9863929426892355
72,6528398.2442064238712,4981215.4134896500036,1326.2163874261823366,320675.39768606045982,85017.301323158404557,2978.9863929426892355
73,6548683.5216696541756,4982016.8429347136989,1326.2163874261823366,320675.39768606045982,62743.508590883793659,2978.9863929426892355
74,6568968.7991328844801,4982818.2723797773942,1326.2163874261823366,320675.39768606045982,44477.019464679513476,2978.9863929426892355
75,6589254.0765961147845,4983619.7018248410895,1326.2163874261823366,320675.39768606045982,33349.668692405321053,2978.9863929426892355
76,6609539.3540593450889,4984421.1312699047849,1326.2163874261823366,320675.39768606045982,29047.495454037292802,2978.9863929426892355
77,6629824.6315225753933,4985222.5607149684802,1326.2163874261823366,322587.98301575210644,29047.495454037292802,2978.9863929426892355
78,6650109.9089858056977,4986023.9901600321755,1326.2163874261823366,322635.79643861058867,29047.495454037292802,2978.9863929426892355
79,6670395.1864490360022,4986825.4196050958708,1326.2163874261823366,330985.62816952512367,29047.495454037292802,2978.9863929426892355
80,6690680.4639122663066,4987626.8490501595661,1326.2163874261823366,349531.13550386513816,29047.495454037292802,2978.9863929426892355
81,6710965.741375496611,4988428.2784952232614,1326.2163874261823366,368076.64283820515266,52256.000523650145624,2978.9863929426892355
82,6731251.0188387269154,4989229.7079402869567,1326.2163874261823366,386622.15017254516715,100202.46228093813988,2978.9863929426892355
83,6751536.2963019572198,4990031.137385350652,1326.2163874261823366,405167.65750688518165,164792.05847111862386,2978.9863929426892355
84,6771821.5737651875243,4990832.5668304143474,1326.2163874261823366,423713.16484122519614,238420.20748529143748,2978.9863929426892355
85,6792106.8512284178287,4991633.9962754780427,1873.3799067236254814,442258.67217556521064,310395.60081541747786,5761.6351463926894212
86,6812392.1286916481331,4992435.425720541738,2146.5288749125065806,460804.17950990522513,362468.73485688131768,8544.2838998426886974
87,6832677.4061548784375,4993236.8551656054333,2146.5288749125065806,479349.68684424523963,387909.01659999997355,10667.401677089701479
88,6852962.6836181087419,4994038.2846106691286,2146.5288749125065806,497895.19417858525412,387909.01659999997355,10667.401677089701479
89,6873247.9610813390464,4994839.7140557328239,2146.5288749125065806,487119.70252098760102,387909.01659999997355,10667.401677089701479
90,6893533.2385445693508,4995641.1435007965192,2146.5288749125065806,465704.56703098758589,371165.19052966753952,10667.401677089701479
91,6913818.5160077996552,4996442.5729458602145,2146.5288749125065806,465704.56703098758589,324075.38665835588472,10667.401677089701479
92,6934103.7934710299596,4997244.0023909239098,2146.5288749125065806,465704.56703098758589,284696.55782172537874,10667.401677089701479
93,6954389.070934260264,4998045.4318359876052,2146.5288749125065806,465704.56703098758589,252413.14426966593601,10667.401677089701479
94,6974674.3483974905685,4998846.8612810513005,1790.438049562573724,465704.56703098758589,221656.8989248185535,7738.2977260897014276
95,6994959.6258607208729,4999648.2907261149958,0,454192.75541471410543,198493.67685027985135,7738.2977260897014276
96,7015244.9033239511773,5000449.7201711786911,0,432777.6199247140903,190198.12037029594649,7738.2977260897014276
97,7035530.1807871814817,5001251.1496162423864,0,411362.48443471407518,186089.78088740946259,7738.2977260897014276
98,7055815.4582504117861,5002052.5790613060817,0,411362.48443471407518,156220.04378793094656,7738.2977260897014276
99,7076100.7357136420906,5002854.008506369777,0,389947.34894471406005,147547.74960260334774,7738.2977260897014276
100,7096386.013176872395,5003655.4379514334723,0,389947.34894471406005,119474.1926982889272,7738.2977260897014276
101,7116671.2906401026994,5004456.8673964971676,0,389947.34894471406005,93405.2555325992289,7738.2977260897014276
102,7136956.5681033330038,5005258.296841560863,0,368532.21345471404493,89896.642620730286581,7738.2977260897014276
103,7157241.8455665633082,5006059.7262866245583,0,368532.21345471404493,66529.683358103604405,7738.2977260897014276
104,7177527.1230297936127,5006861.1557316882536,0,367083.76502624462591,66529.683358103604405,7738.2977260897014276
105,7197812.4004930239171,5007662.5851767519489,0,367083.76502624462591,94003.101414803240914,7738.2977260897014276
106,7218097.6779562542215,5008464.0146218156442,0,367083.76502624462591,142240.3787321310956,7738.2977260897014276
107,7238382.9554194845259,5009265.4440668793395,0,367083.76502624462591,200826.81861740763998,7738.2977260897014276
108,7258668.2328827148303,5010066.8735119430348,0,367083.76502624462591,268490.59758420358412,7738.2977260897014276
109,7278953.5103459451348,5010868.3029570067301,0,367083.76502624462591,329028.67061815364286,7738.2977260897014276
110,7299238.7878091754392,5011669.7324020704255,0,367083.76502624462591,370708.56416339275893,7738.2977260897014276
111,7319524.0652724057436,5012471.1618471341208,0,367083.76502624462591,387909.01659999997355,7738.2977260897014276
112,7339809.342735636048,5013272.5912921978161,0,351612.39196401607478,387909.01659999997355,7738.2977260897014276
113,7324066.6315090525895,5014074.0207372615114,0,330197.25647401605966,387909.01659999997355,7738.2977260897014276
114,7302434.8886422822252,5014875.4501823252067,0,308782.12098401604453,361845.56191481259884,7738.2977260897014276
115,7280803.1457755118608,5015676.879627388902,0,287366.98549401602941,321567.24325039610267,7738.2977260897014276
116,7301088.4232387421653,5016478.3090724525973,0,265951.85000401601428,249281.63006790922373,7738.2977260897014276
117,7279456.6803719718009,5017279.7385175162926,0,244536.71451401599916,227044.70347520243376,7738.2977260897014276
118,7299741.9578352021053,5018081.1679625799879,0,223121.57902401598403,160530.00047615982476,4809.1937750897013757
119,7320027.2352984324098,5018882.5974076436833,0,201706.44353401596891,88384.240925994759891,2823.4221492858332567
120,7298395.4924316620454,5019684.0268527073786,0,180291.30804401595378,65630.9578676190431,2823.4221492858332567
121,7289021.6720621706918,5020485.4562977710739,0,158876.17255401593866,42783.119419731177913,2823.4221492858332567
122,7267389.9291954003274,5021286.8857428347692,0,137461.03706401592353,36940.132562437815068,2823.4221492858332567
123,7287675.2066586306319,5022088.3151878984645,0,116045.90157401592296,0,2823.4221492858332567
124,7281530.4386274507269,5022889.7446329621598,0,94630.766084015922388,0,2823.4221492858332567
125,7288380.1182114332914,5023691.1740780258551,0,73215.630594015921815,0,2823.4221492858332567
126,7308665.3956746635959,5024492.6035230895504,0,57990.387859493988799,0,2823.4221492858332567
127,7328950.6731378939003,5025294.0329681532457,0,57990.387859493988799,0,2823.4221492858332567
128,7349235.9506011242047,5026095.4624132169411,0,76535.895193833988742,0,2823.4221492858332567
129,7369521.2280643545091,5026896.8918582806364,0,95081.402528173988685,21304.472850310343347,2823.4221492858332567
130,7389806.5055275848135,5027698.3213033443317,0,113626.90986251398863,72039.600313087677932,2823.4221492858332567
131,7410091.782990815118,5028499.750748408027,0,132172.41719685398857,138940.09593678123201,2823.4221492858332567
132,7430377.0604540454224,5029301.1801934717223,0,150717.92453119397396,218929.54738612286747,2823.4221492858332567
133,7450662.3379172757268,5030102.6096385354176,0,169263.43186553398846,296147.90597998548765,2823.4221492858332567
134,7470947.6153805060312,5030904.0390835991129,0,187808.93919987400295,356615.03817648807308,2823.4221492858332567
135,7491232.8928437363356,5031705.4685286628082,0,206354.44653421401745,387909.01659999997355,2823.4221492858332567
136,7511518.1703069666401,5032506.8979737265036,0,224899.95386855403194,387909.01659999997355,2823.4221492858332567
137,7531803.4477701969445,5033308.3274187901989,0,208941.31642650917638,387909.01659999997355,2823.4221492858332567
138,7552088.7252334272489,5034109.7568638538942,0,187526.18093650916126,354670.82468034763588,2823.4221492858332567
139,7572374.0026966575533,5034911.1863089175895,0,166111.04544650914613,302143.51323290145956,2823.4221492858332567
140,7592659.2801598878577,5035712.6157539812848,0,144695.90995650913101,255079.44164683844429,2823.4221492858332567
141,7612944.5576231181622,5036514.0451990449801,0,123280.77446650913043,213779.38652060812456,2823.4221492858332567
142,7633229.8350863484666,5037315.4746441086754,0,105131.98030164957163,164359.03018915251596,1565.7842491581977811
