Timestep,Node_0
0,23637.644679999986693
1,22273.145110000026762
2,21864.021500000002561
3,21490.171849999987899
4,21233.428970000019035
5,21871.156809999989491
6,23536.884200000014971
7,26757.421679999988555
8,29168.40802000000258
9,31638.475910000001022
10,33017.535040000038862
11,33115.041250000009313
12,33334.873540000015055
13,33082.892659999946773
14,32846.597780000032799
15,32437.806039999981294
16,31584.005910000021686
17,32049.406000000064523
18,33100.206309999994119
19,33648.006440000004659
20,33865.606439999988652
21,33389.206290000009176
22,30677.10588999999527
23,27663.905410000017582
