Timestep,ES>PT,ES>FR,PT>FR
0,-1829.5679986816148812,5652.8940000000002328,0
1,-2028.5474979679593162,5652.8940000000002328,0
2,-2297.7780709526568899,5652.8940000000002328,0
3,-2651.4809281387515512,5652.8940000000002328,0
4,-2931.3579740344039237,5652.8940000000002328,0
5,-2692.950564447403849,5652.8940000000002328,0
6,-2183.4388201625906731,5652.8940000000002328,0
7,-1045.2087330058884618,5652.8940000000002328,0
8,-494.02131274921703152,5652.8940000000002328,0
9,-1069.4195236369414488,-5652.8940000000002328,0
10,-1602.9782750631857198,-5652.8940000000002328,0
11,-2421.2748201834874635,-5652.8940000000002328,0
12,-2755.5876438613395294,-5652.8940000000002328,0
13,-2922.3220569326786062,-5652.8940000000002328,0
14,-2489.7260402148622234,-5652.8940000000002328,0
15,-2291.8147479477029265,-5652.8940000000002328,0
16,-2044.8884092736607272,5652.8940000000002328,0
17,-1771.6147033030065359,5614.9979544384987094,0
18,-986.36395852258101513,3204.3157448588517582,0
19,-104.59481001094354724,731.53184814587257279,0
20,-321.31055517012282507,904.45293276194570353,0
21,-930.74959690412288182,2318.9613569703797111,0
22,237.76739675354656356,-2246.2811446671275917,0
23,-191.83225364794998313,-161.88263527769959182,0
24,-724.66743105592649954,2670.949203128237059,0
25,-1002.5310612164921622,5336.8519658921068185,0
26,-1150.5200650598153516,5652.8940000000002328,0
27,-1498.3247173400059182,5652.8940000000002328,0
28,-1904.6625108246571472,5652.8940000000002328,0
29,-2133.4180941639506273,5652.8940000000002328,0
30,-2309.2257381581066511,5652.8940000000002328,0
31,-1831.9162851303126445,5652.8940000000002328,0
32,-1618.0744173983912333,5652.8940000000002328,0
33,-2807.4152795109239378,-5652.8940000000002328,0
34,-3883.961992593604009,-5652.8940000000002328,0
35,-3773.3623926251748344,-5652.8940000000002328,0
36,-3055.5123372760699567,-5652.8940000000002328,0
37,-2528.812827172841935,-5652.8940000000002328,0
38,-2360.0791598312498536,-5652.8940000000002328,0
39,-1735.2472085654899274,-5652.8940000000002328,0
40,-365.2388993226832099,5652.8940000000002328,0
41,698.08110637097888684,5652.8940000000002328,0
42,1318.1939969851009664,4766.2398550293219159,0
43,1963.140333671271037,1746.1720179768062735,0
44,1816.9113549929888904,1869.7928205343923764,0
45,919.74772796399156505,3724.2791730849658052,0
46,1552.0503633133321273,-2028.8458554954777355,0
47,863.01242514083969581,-35.526550775932264514,0
48,69.24692382020293735,3595.1969584038306493,0
49,-525.3528608929073016,5652.8940000000002328,0
50,-779.85893069652593113,5652.8940000000002328,0
51,-904.22706664216184436,5652.8940000000002328,0
52,-884.20207973293418036,5652.8940000000002328,0
53,-661.58862690076148283,5652.8940000000002328,0
54,-237.69317115118974471,5652.8940000000002328,0
55,559.37035769676731434,5652.8940000000002328,0
56,894.33821926556174731,-330.50388038210803643,0
57,470.76417022426539916,-5652.8940000000002328,0
58,20.005199810888370848,-5652.8940000000002328,0
59,-281.95961457196426636,-5652.8940000000002328,0
60,-646.37356399707823584,-5652.8940000000002328,0
61,-229.76995003397678374,-5652.8940000000002328,0
62,234.12371519013322541,-5652.8940000000002328,0
63,766.89819201009595417,-5652.8940000000002328,0
64,1222.2593245393745747,5569.688639561238233,0
65,2474.1422095418347453,2024.5411182451498462,0
66,3258.9975597459442724,-2331.4180299941972407,0
67,3725.2082223852339666,-5652.8940000000002328,0
68,3326.3848075711648562,-5652.8940000000002328,0
69,3344.0175189385645353,-5234.0881756515100278,0
70,1660.6453268462691995,-5652.8940000000002328,0
71,2372.6975807101480314,-5652.8940000000002328,0
72,4633.7408234689019082,-5371.1004229790514728,0
73,4307.5702204564686326,-2639.0519892299926141,0
74,4122.6171640661295896,-1092.8124795309340698,0
75,3752.8346496186072727,803.19885289886587998,0
76,3426.8488892257651059,2366.4301251960146146,0
77,3239.8804303209481077,3240.9671048599584537,0
78,3091.1017660299971794,4067.9718292064062553,0
79,3026.8418377195794164,4227.0724075268499291,0
80,2814.6655143151310767,4369.2303113096859306,0
81,1887.9468263030667003,5372.6941710251612676,0
82,512.80508457505311526,-5276.0542150566470809,0
83,-536.8845049287447182,-5652.8940000000002328,0
84,-907.75309446005667269,-5652.8940000000002328,0
85,-1383.5527434491559688,-5652.8940000000002328,0
86,-1513.7359053480195143,-5652.8940000000002328,0
87,-1299.7041853639038891,-5652.8940000000002328,0
88,-847.03966334064170951,-5652.8940000000002328,0
89,313.44961796146344568,-5652.8940000000002328,0
90,1443.6172455419264224,-5652.8940000000002328,0
91,2391.9718969820387429,-5652.8940000000002328,0
92,2384.3688805973324634,-5652.8940000000002328,0
93,2050.5089372182928855,-5652.8940000000002328,0
94,2810.0343967867465835,-5652.8940000000002328,0
95,2643.0915500431801775,-5652.8940000000002328,0
96,2204.2890889814852926,-5652.8940000000002328,0
97,1756.4276029171805931,-5652.8940000000002328,0
98,1229.4849245449586306,-5652.8940000000002328,0
99,752.12516448862425023,-5652.8940000000002328,0
100,179.2433324823359726,-5652.8940000000002328,0
101,-325.06347954891953123,-5652.8940000000002328,0
102,-785.93832105807814514,-5652.8940000000002328,0
103,-841.2925786573177902,-5652.8940000000002328,0
104,-1114.8779834131382813,-5652.8940000000002328,0
105,-2074.8749254168724292,-5652.8940000000002328,0
106,-2705.4945227977877948,-5652.8940000000002328,0
107,-3061.0611314438647241,-5652.8940000000002328,0
108,-2738.0104262713775825,-5652.8940000000002328,0
109,-2007.1045213614561362,-5652.8940000000002328,0
110,-1957.6056324090222915,-5652.8940000000002328,0
111,-1396.1251576066006237,-5652.8940000000002328,0
112,-708.79218455661248299,-5652.8940000000002328,0
113,363.60281808702711714,-5652.8940000000002328,0
114,1543.6954524695620421,-5652.8940000000002328,0
115,2457.5818342999918968,-5652.8940000000002328,0
116,2037.4389527951298078,-5652.8940000000002328,0
117,1228.5719931364574222,-5652.8940000000002328,0
118,1398.7763065107938019,-5652.8940000000002328,0
119,891.53377596611062472,-5652.8940000000002328,0
120,75.339703949910472147,-5652.8940000000002328,0
121,-436.02861314026995387,-5652.8940000000002328,0
122,-683.86149496117286617,-5652.8940000000002328,0
123,-1043.5423465943003976,-5652.8940000000002328,0
124,-1497.2600192539612181,-5652.8940000000002328,0
125,-1870.6910260918066342,-5652.8940000000002328,0
126,-2142.5618649277530494,-5652.8940000000002328,0
127,-2245.7231393593428947,-5652.8940000000002328,0
128,-2376.9874571500122329,-5652.8940000000002328,0
129,-2892.7053293598792152,-5652.8940000000002328,0
130,-1308.5956483834124811,-5652.8940000000002328,0
131,-167.10605760358885163,-5652.8940000000002328,0
132,-118.78748795978026465,-5652.8940000000002328,0
133,-1999.3721722251593746,-5652.8940000000002328,0
134,210.56803697139093856,-5652.8940000000002328,0
135,-1185.4815467916778289,-5652.8940000000002328,0
136,-1537.0468722753348629,-5652.8940000000002328,0
137,-234.31492392513428058,-5652.8940000000002328,0
138,1367.204122869472485,-5652.8940000000002328,0
139,1902.4780626745996415,-5652.8940000000002328,0
140,1496.3632472550525563,-5652.8940000000002328,0
141,1685.0618922451103572,-5652.8940000000002328,0
142,951.39990373188174999,-5652.8940000000002328,0
143,1159.2459174114464986,-5652.8940000000002328,0
144,2156.3435489307812531,-5652.8940000000002328,0
145,3750.7634042777390277,-5652.8940000000002328,0
146,3365.0369218694359006,-5652.8940000000002328,0
147,2812.8260323584481739,-5652.8940000000002328,0
148,2345.1760424557733131,-5652.8940000000002328,0
149,1936.6626658719533225,-5652.8940000000002328,0
150,1500.5114960054006588,-5652.8940000000002328,0
151,1027.2430221226886715,-5652.8940000000002328,0
152,150.50151553155683359,-5652.8940000000002328,0
153,-237.21664169048381154,-5652.8940000000002328,0
154,289.42588903437899717,-5652.8940000000002328,0
155,-2788.3924248870225711,-5652.8940000000002328,0
156,-286.2061393868216328,-5652.8940000000002328,0
157,-386.49782009545742767,-5652.8940000000002328,0
158,-340.00488511009643844,-5652.8940000000002328,0
159,-2906.6095338720306245,-5652.8940000000002328,0
160,-1737.7899126358752255,-5652.8940000000002328,0
161,-714.32197832600741094,-5652.8940000000002328,0
162,1255.6676218071233961,-5652.8940000000002328,0
163,2102.1879643568972824,-5652.8940000000002328,0
164,901.94878191639872966,-5652.8940000000002328,0
165,1440.2276597160325764,-5652.8940000000002328,0
166,3434.0124631751023117,-5652.8940000000002328,0
167,2539.0244938719069978,-5652.8940000000002328,0
168,5087.692249335545057,5652.8940000000002328,0
169,4572.8101691528636366,-379.01086401037809992,0
170,4196.8895345457840449,1219.8256191271811986,0
171,3773.2733886663472731,3183.2109380278270692,0
172,3444.5821649372974207,-2855.6558628841885366,0
173,3306.5195518115651794,-5652.8940000000002328,0
174,3336.5360108605000278,-5652.8940000000002328,0
175,3286.592901245676785,-5652.8940000000002328,0
176,3049.2606846285852953,-5652.8940000000002328,0
177,2650.709385194353672,-5652.8940000000002328,0
178,1511.2914871843368019,-5652.8940000000002328,0
179,264.76648868691881944,-5652.8940000000002328,0
180,-693.76553348904599261,-5652.8940000000002328,0
181,-1903.9383584407460148,-5652.8940000000002328,0
182,-2426.7745360412718583,-5652.8940000000002328,0
183,-2404.0085957953433535,-5652.8940000000002328,0
184,-1765.9554040995626565,-5652.8940000000002328,0
185,-595.44474522762538982,5652.8940000000002328,0
186,884.39314329842454754,4412.0275172939509503,0
187,2107.4287898007496551,-498.31072410999695421,0
188,3116.5751278037532757,-2432.9188511810025375,0
189,3637.0046288344365166,-3118.1739853541275806,0
190,3713.9451600401152973,-5652.8940000000002328,0
191,4512.6068960331667768,-5389.632471259783415,0
192,4022.6276413394516567,-2789.7164807598674088,0
193,3352.3367199638933016,572.86607700793683762,0
194,2845.54985413833856,2940.29986529350208,0
195,2233.6970814021424303,5600.7488729877441074,0
196,1520.7384221602569596,5652.8940000000002328,0
197,1123.5694330416145021,5652.8940000000002328,0
198,695.26518504279101762,5652.8940000000002328,0
199,-719.01389519502936309,5652.8940000000002328,0
200,-2331.2991981861250679,5652.8940000000002328,0
201,-3123.4133034017031605,4153.9835147831472568,0
202,-4099.7109786718883697,-4363.4975840164115652,0
203,-4148.5670851450049668,-5652.8940000000002328,0
204,-3265.3482570501146256,-4660.7486257468626718,0
205,-4657.1708312130831473,-1057.2191553274133184,0
206,-5450.6857151382355369,-875.65604035986325471,0
207,-5799.0548036955096904,-1765.8984214424035599,0
208,-8625.5527647724247799,5652.8940000000002328,0
209,-7584.7880326523536496,5652.8940000000002328,0
210,-6129.0275813671560172,5652.8940000000002328,0
211,-4142.2161958450797101,5652.8940000000002328,0
212,-3131.6335537874165311,4703.1296881232028682,0
213,-2103.3393234015857161,3025.2135135802636796,0
214,280.6192209823821031,-3448.4766944238690485,0
215,269.9031928311833326,-2357.4951033911002014,0
216,-57.961753785584733123,644.53062757195220911,0
217,-387.25004394125608087,3970.2513211160130595,0
218,-427.06228570396706345,5635.1334317014370754,0
219,-848.85292854057752265,5652.8940000000002328,0
220,-1212.5913835506626128,5652.8940000000002328,0
221,-1384.6556146103521314,5652.8940000000002328,0
222,-1266.2781551514144667,5652.8940000000002328,0
223,-242.91194354055733129,5652.8940000000002328,0
224,-713.66727486686431803,-973.71957790380110964,0
225,-1088.8848978270725638,-5652.8940000000002328,0
226,-1104.3507538223311712,-5652.8940000000002328,0
227,-1853.9167589196677,-5652.8940000000002328,0
228,-2549.1167277054064471,-5652.8940000000002328,0
229,-3399.9816690731422568,-5652.8940000000002328,0
230,-3764.5950403262104373,-5652.8940000000002328,0
231,-3857.6028567595003551,-5652.8940000000002328,0
232,-3680.7748627916662372,3536.1582060281070881,0
233,-2850.3203037105795374,5652.8940000000002328,0
234,-1732.1437547847799578,1379.0770570698714437,0
235,-359.65875216939457459,-3632.8003889320534654,0
236,-652.84969211602947325,-3640.4977435782529938,0
237,-560.57260358126586652,-3309.9885532833322941,0
238,-543.45802107583585894,-5652.8940000000002328,0
239,899.14997514499737008,-5396.2948428018353297,0
240,834.68852546866582998,-2291.3589661990281456,0
241,604.01919085168992751,822.71561069962626789,0
242,522.79292787965823663,2673.4234224872343475,0
243,278.14677831027165666,4629.5123029533424415,0
244,218.78089794604784402,5652.8940000000002328,0
245,362.75346504128719971,5652.8940000000002328,0
246,744.49016356726588128,-150.62171246710931882,0
247,1607.5283800753759351,-5652.8940000000002328,0
248,2053.3383396456574701,-5652.8940000000002328,0
249,1422.8277808116599772,-5652.8940000000002328,0
250,543.11976799700823904,-5652.8940000000002328,0
251,-136.11786023084096087,-5652.8940000000002328,0
252,-519.90775678900899948,-5652.8940000000002328,0
253,-933.36069204869636451,-5652.8940000000002328,0
254,-909.55679313477776304,-5652.8940000000002328,0
255,-556.67294956628575164,-5652.8940000000002328,0
256,-51.435061198510084068,-5652.8940000000002328,0
257,930.17501839503347583,-3787.8724029966397211,0
258,2156.2973125322369015,-3780.5822967927870195,0
259,1064.6485380262020044,-5652.8940000000002328,0
260,1089.7789870105916634,-5652.8940000000002328,0
261,1598.0375702732999343,-5652.8940000000002328,0
262,-489.40322072801063769,-5652.8940000000002328,0
263,875.13824137951451121,-5652.8940000000002328,0
264,2517.7842679461282387,-4904.9092612804779492,0
265,2165.5274251952287159,-1728.5070808640302857,0
266,2215.873408793237104,-112.06449568959214957,0
267,2093.6810883148091307,1814.1678533981585133,0
268,2014.6564100237665116,3319.9227095147289219,0
269,2014.0398149904722231,3931.835496941312158,0
270,1900.1684268160406646,4483.5437267727902508,0
271,1852.2530214936259654,4538.8887489773260313,0
272,2318.749390482184026,-5652.8940000000002328,0
273,1595.1655662268867673,-5652.8940000000002328,0
274,717.85880876385999727,-5652.8940000000002328,0
275,94.473449617529695388,-5652.8940000000002328,0
276,-272.02282286471563566,-5652.8940000000002328,0
277,-739.30788337877493177,-5652.8940000000002328,0
278,-767.23815625677161734,-5652.8940000000002328,0
