Timestep,Node_0
0,44.00471464000247579
1,44.00471464000247579
2,44.00471464000247579
3,44.00471464000247579
4,44.00471464000247579
5,44.00471464000247579
6,44.00471464000247579
7,44.00471464000247579
8,44.00471464000247579
9,14.778999999999999915
10,38.108082878242143465
11,14.778999999999999915
12,0.0010000000000000000208
13,0
14,14.778999999999999915
15,0
16,0
17,14.778999999999999915
18,38.108082878242143465
19,44.00471464000247579
20,44.00471464000247579
21,44.00471464000247579
22,44.00471464000247579
23,44.00471464000247579
