Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66573.775886090064887,111923.54816339090758,98830.60479329158261,613256.57333274534903,320143.58304838649929,139798.84695124754217,84470.602387398816063,144022.37707059248351,77950.30720833138912,77950.30720833138912,518564.67800188285764,81936.48431581184559,120370.60840208079026,168518.8517629331327,48570.596372816820804,55750.597575713203696,172320.02887031351565,160535.49754807219142,157537.67345255627879,168941.20477489763289,206108.26982537304866,68421.187933848035755,115302.3722588068631,49415.302396645791305,201884.73970592810656,102631.78190077205363,54483.53853991971846,116147.07828273587802,72222.36504122846236,70532.952993470491492,57017.656611506688932,51949.420468232769053,76264.895160673419014,56172.950587677696603,130619.43370049312944,51949.420468232769053,53638.832515990732645,9106,35980.95717878020514,10962,16705.832000000005792,40140,19053,27927,9686,5800,5423,20010,9628,3857,9564.8399999999965075,16189.774240100035968
1,66441.861539590070606,111967.29941769091238,98635.237976291580708,613496.29718624532688,320268.72814548650058,139853.49474434755393,84303.622201898819185,144078.67585439249524,77795.850536731391912,77795.850536731391912,518767.58476218284341,81774.513535911843064,120132.66163778079499,168584.72629293313366,48474.582766216823075,55772.390653313203075,172387.38929191351053,160598.40029477220378,157226.25540665627341,169007.24440399763989,206188.83817287304555,68285.933983648035792,115347.44430560687033,49317.618988145790354,201963.65706262810272,102505.24068547197385,54375.836320319715014,116192.48052773588279,72250.596982628456317,70393.524538570491131,57039.944986306691135,51969.727654132766475,76294.778092873413698,56061.908764377694752,130670.61441299313447,51969.727654132766475,53659.80009819073166,9106,34751.95717878020514,10962,16705.832000000005792,40140,19053,26964,9686,5668.000000000001819,5236,20010,9628,3724,9238.8399999999965075,15643.774240100035968
2,66309.947193090076325,112011.05067199091718,98439.871159291578806,613736.02103974530473,319635.87324258650187,139577.1425374475657,84136.642016398822307,144134.97463819250697,77641.393865131394705,77826.393865131394705,517801.795012482733,81612.542756011840538,120179.71487348079972,168251.60082293313462,48378.569159616825345,55794.183730913202453,172454.74971351350541,160280.30304147221614,156914.83736075626803,169073.2840330976469,206269.40652037304244,68150.680033448035829,115392.51635240687756,49336.935579645789403,201564.57441932809888,102545.35976017196663,54397.134100719711569,116237.88277273588756,72278.828924028450274,70421.096083670490771,57062.233361106693337,51990.034840032763896,76143.661025073408382,55950.8669410776929,130411.79512549313949,51990.034840032763896,53680.767680390730675,9106,34751.95717878020514,10962,16705.832000000005792,40140,19053,26964,9686,5468.000000000001819,5049,20010,9628,3591,8912.8399999999965075,15643.774240100035968
3,66336.032846590082045,112054.80192629092198,98478.504342291576904,612523.74489324528258,319761.01833968650317,139631.79033054757747,84169.661830898825428,144191.27342199251871,77486.937193531397497,77856.937193531397497,516775.70177278271876,81644.571976111838012,120226.76810918080446,168317.47535293313558,48397.555553016827616,55815.976808513201831,172522.11013511350029,160343.20578817222849,156976.41931485626264,169139.3236621976539,205861.97486787303933,68177.426083248035866,115437.58839920688479,49356.252171145788452,201643.49177602809505,102585.47883487195941,54418.431881119708123,116283.28501773589232,72307.060865428444231,70448.66762877049041,57084.52173590669554,52010.342025932761317,75992.543957273403066,55972.825117777691048,130462.97583799314452,52010.342025932761317,53701.73526259072969,9106,34751.95717878020514,10962,16705.832000000005792,39351.423499999946216,19053,26001,9686,5468.000000000001819,4862,20010,9296,3458,8586.8399999999965075,15097.774240100035968
4,66362.118500090087764,112098.55318059092679,98517.137525291575002,612763.46874674526043,319886.16343678650446,139686.43812364758924,84202.68164539882855,144247.57220579253044,77517.48052193140029,77887.48052193140029,516978.60853308270453,81676.601196211835486,119988.82134488080919,168383.34988293313654,48416.541946416829887,55837.76988611320121,172181.47055671349517,160406.10853487224085,157038.00126895625726,169205.36329129766091,205942.54321537303622,68204.172133048035903,115482.66044600689202,49258.568762645787501,201244.40913272809121,102382.59790957195219,54439.729661519704678,116328.68726273589709,72335.292806828438188,70309.239173870490049,57106.810110706697742,52030.649211832758738,76022.42688947339775,55994.783294477689196,130514.15655049314955,52030.649211832758738,53722.702844790728705,9106,34751.95717878020514,10584,16133.832000000005792,38013.423499999946216,18396,25457.575159999949392,9352,5268.000000000001819,4675,19343,8964,3325,8260.8399999999965075,14551.774240100035968
5,66230.204153590093483,112142.30443489093159,98555.770708291573101,613003.19260024523828,320011.30853388650576,139410.085916747601,84235.701459898831672,144303.87098959254217,77548.023850331403082,77733.023850331403082,517181.51529338269029,81708.63041631183296,119750.87458058081393,168050.2244129331375,48320.528339816832158,55859.562963713200588,171840.83097831349005,160088.01128157225321,156726.58322305625188,169271.40292039766791,205535.11156287303311,68068.91818284803594,115254.73249280689924,49160.88535414578655,201323.32648942808737,102422.71698427194497,54461.027441919701232,116374.08950773590186,72363.524748228432145,70169.810718970489688,57129.098485506699944,51927.956397732756159,76052.309821673392435,56016.741471177687345,130565.33726299315458,52050.956397732756159,53743.670426990727719,8792,34567.884518780221697,10206,15561.832000000005792,36675.423499999946216,17739,24494.575159999949392,9018,5068.000000000001819,4488,18676,8632,3192,7934.839999999995598,14551.774240100035968
6,66256.289807090099202,112186.05568919093639,98594.403891291571199,613242.91645374521613,320136.45363098650705,139464.73370984761277,84268.721274398834794,144360.16977339255391,77578.567178731405875,77763.567178731405875,516155.42205368267605,81546.659636411830434,119512.92781628081866,167717.09894293313846,48224.514733216834429,55749.356041313199967,171500.19139991348493,160150.91402827226557,156415.1651771562465,168937.44254949767492,205127.67991037303,68095.664232648035977,115026.80453960690647,49180.201945645785599,201402.24384612808353,102462.83605897193775,54482.325222319697787,116419.49175273590663,72391.756689628426102,70197.382264070489327,57151.386860306702147,51948.26358363275358,76082.192753873387119,56038.699647877685493,130616.51797549315961,52071.26358363275358,53764.638009190726734,8478,33338.884518780221697,10206,15561.832000000005792,35337.423499999946216,17082,23868.882339999956457,9018,5068.000000000001819,4488,18009,8323.9039999999949941,3059,7608.839999999995598,14551.774240100035968
7,66282.375460590104922,112229.80694349094119,98633.037074291569297,613482.64030724519398,319503.59872808650834,139519.38150294762454,84301.741088898837916,144416.46855719256564,77424.110507131408667,77794.110507131408667,516358.32881398266181,81578.688856511827908,119559.98105198082339,167782.97347293313942,48243.5011266168367,55771.149118913199345,171567.55182151347981,160213.81677497227793,156476.74713125624112,169003.48217859768192,205208.24825787302689,68122.410282448036014,115071.8765864069137,49199.518537145784649,201481.16120282807969,102502.95513367193053,54503.623002719694341,116189.8939977359114,72419.988631028420059,70224.953809170488967,57173.675235106704349,51968.570769532751001,76112.075686073381803,56060.657824577683641,130667.69868799316464,51968.570769532751001,53658.605591390725749,8478,33338.884518780221697,10206,15561.832000000005792,35337.423499999946216,17082,23468.023230000108015,9018,5068.000000000001819,4488,18009,8323.9039999999949941,2926,7608.839999999995598,14551.774240100035968
8,66308.461114090110641,112273.558197790946,98671.670257291567395,613722.36416074517183,319628.74382518650964,139574.02929604763631,84334.760903398841037,144472.76734099257737,77454.65383553141146,77824.65383553141146,516561.23557428264758,81610.718076611825381,119607.03428768082813,167848.84800293314038,48262.487520016838971,55792.942196513198724,171634.91224311347469,160276.71952167229028,156538.32908535623574,169069.52180769768893,205288.81660537302378,68149.156332248036051,115116.94863320692093,49218.835128645783698,201560.07855952807586,102543.07420837192331,54524.920783119690896,116235.29624273591617,72448.220572428414016,70252.525354270488606,57195.963609906706552,51988.877955432748422,76141.958618273376487,56082.616001277681789,130718.87940049316967,51988.877955432748422,53679.573173590724764,8478,33338.884518780221697,10533.347999999999956,15561.832000000005792,36360.640322239902162,17650.961999999999534,24301.981230000106734,9307.2440000000005966,5241.2000000000016371,4649.9420000000000073,18176.281985800022085,8323.9039999999949941,3041.1779999999998836,7891.1559999999954016,14551.774240100035968
9,66334.54676759011636,112317.3094520909508,98710.303440291565494,613962.08801424514968,319753.88892228651093,139628.67708914764808,84367.780717898844159,144529.06612479258911,77485.197163931414252,77855.197163931414252,516764.14233458263334,81642.747296711822855,119654.08752338083286,167914.72253293314134,48281.473913416841242,55814.735274113198102,171702.27266471346957,160339.62226837230264,156599.91103945623036,169135.56143679769593,205369.38495287302067,68175.902382048036088,115162.02068000692816,49238.151720145782747,201638.99591622807202,102583.19328307191608,54546.21856351968745,116280.69848773592093,72476.452513828407973,70280.096899370488245,57218.251984706708754,52009.185141332745843,76171.841550473371171,56104.574177977679938,130770.0601129931747,52009.185141332745843,53700.540755790723779,8749.9239999999990687,33951.674943400030315,10533.347999999999956,16057.184000000006563,37381.044000000008964,18219.923999999999069,25135.939230000105454,9596.4880000000011933,5414.4000000000014552,4811.8840000000000146,18753.903985800021474,8323.9039999999949941,3156.3559999999997672,8173.4719999999952051,15024.610240100035298
