Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66573.775886090064887,111658.54816339090758,98596.60479329158261,611804.57333274534903,319385.58304838649929,139798.84695124754217,84470.602387398816063,143681.37707059248351,77950.30720833138912,77950.30720833138912,519071.85167076304788,81742.48431581184559,120085.60840208079026,168119.8517629331327,48455.596372816820804,55618.597575713203696,171912.02887031351565,160535.49754807219142,157164.67345255627879,168941.20477489763289,205620.26982537304866,68421.187933848035755,115029.3722588068631,49415.302396645791305,201406.73970592810656,102388.78190077205363,54483.53853991971846,116147.07828273587802,72222.36504122846236,70365.952993470491492,57017.656611506688932,51835.76009823284403,76445.895160673419014,56172.950587677696603,130619.43370049312944,51949.420468232769053,53511.832515990732645,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
1,66441.861539590070606,111437.29941769091238,98635.237976291580708,612044.29718624532688,318752.72814548650058,139522.49474434755393,84303.622201898819185,143396.67585439249524,77980.850536731391912,77795.850536731391912,518045.75843106303364,81580.513535911843064,119847.66163778079499,167786.72629293313366,48359.582766216823075,55640.390653313203075,171571.38929191351053,160217.40029477220378,156853.25540665627341,168607.24440399763989,205700.83817287304555,68290.741723648039624,114801.44430560687033,49317.618988145790354,201485.65706262810272,102185.90097547204641,54504.836320319715014,116192.48052773588279,72250.596982628456317,70393.524538570491131,57039.944986306691135,51856.067284132841451,76294.778092873413698,56194.908764377694752,130670.61441299313447,51969.727654132766475,53532.80009819073166,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
2,66309.947193090076325,111216.05067199091718,98439.871159291578806,610832.02103974530473,318119.87324258650187,139246.1425374475657,84136.642016398822307,143452.97463819250697,77826.393865131394705,77641.393865131394705,518248.6651913630194,81418.542756011840538,119808.56074348081893,167453.60082293313462,48263.569159616825345,55530.183730913202453,171638.74971351350541,159899.30304147221614,156914.83736075626803,168673.2840330976469,205293.40652037304244,68155.487773448039661,114573.51635240687756,49219.935579645789403,201564.57441932809888,102226.02005017203919,54526.134100719711569,116237.88277273588756,72278.828924028450274,70421.096083670490771,57062.233361106693337,51876.374470032838872,76324.661025073408382,56216.8669410776929,130721.79512549313949,51990.034840032763896,53553.767680390730675,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
3,66178.032846590082045,110994.80192629092198,98244.504342291576904,611071.74489324528258,317487.01833968650317,139300.79033054757747,83969.661830898825428,143168.27342199251871,77671.937193531397497,77486.937193531397497,518451.57195166300517,81256.571976111838012,119855.61397918082366,167163.19064293315751,48167.555553016827616,55419.976808513201831,171298.11013511350029,159962.20578817222849,156976.41931485626264,168339.3236621976539,204885.97486787303933,68020.233823248039698,114345.58839920688479,49122.252171145788452,201643.49177602809505,102266.13912487203197,54547.431881119708123,116283.28501773589232,72307.060865428444231,70448.66762877049041,57084.52173590669554,51896.681655932836293,76354.543957273403066,56238.825117777691048,130772.97583799314452,52010.342025932761317,53447.73526259072969,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
4,66046.118500090087764,110773.55318059092679,98049.137525291575002,611311.46874674526043,316854.16343678650446,139024.43812364758924,83802.68164539882855,143224.57220579253044,77702.48052193140029,77332.48052193140029,518654.47871196299093,81094.601196211835486,119617.6672148808284,166830.06517293315846,48071.541946416829887,55441.76988611320121,171020.73561671347125,160025.10853487224085,157038.00126895625726,168405.36329129766091,204478.54321537303622,67884.979873048039735,114117.66044600689202,49024.568762645787501,201244.40913272809121,102306.25819957202475,54568.729661519704678,116053.68726273589709,72335.292806828438188,70476.239173870490049,57106.810110706697742,51916.988841832833714,76384.42688947339775,56260.783294477689196,130824.15655049314955,52030.649211832758738,53468.702844790728705,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
5,65914.204153590093483,110817.30443489093159,97853.770708291573101,611551.19260024523828,316221.30853388650576,138748.085916747601,83635.701459898831672,142939.87098959254217,77548.023850331403082,77178.023850331403082,517628.38547226297669,80932.63041631183296,119379.72045058083313,166895.93970293315942,48090.528339816832158,55331.562963713200588,170805.77695831345045,159707.01128157225321,157099.58322305625188,168471.40292039766791,204071.11156287303311,67749.725922848039772,113889.73249280689924,49043.88535414578655,200845.32648942808737,102346.37727427201753,54590.027441919701232,116099.08950773590186,72363.524748228432145,70503.810718970489688,57129.098485506699944,51937.296027732831135,76414.309821673392435,56282.741471177687345,130875.33726299315458,52050.956397732756159,53489.670426990727719,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
6,65940.289807090099202,110861.05568919093639,97658.403891291571199,610338.91645374521613,315588.45363098650705,138471.73370984761277,83468.721274398834794,142655.16977339255391,77393.567178731405875,77023.567178731405875,517831.29223256296245,80832.211256411974318,119141.77368628083786,166562.81423293316038,48109.514733216834429,55353.356041313199967,170465.13737991344533,159388.91402827226557,157161.1651771562465,168137.44254949767492,204151.67991037303,67614.471972648039809,113661.80453960690647,48946.201945645785599,200924.24384612808353,102386.49634897201031,54611.325222319697787,115869.49175273590663,72220.756689628426102,70364.382264070489327,57016.386860306702147,51834.603213632828556,76444.192753873387119,56171.699647877685493,130616.51797549315961,51948.26358363275358,53510.638009190726734,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
7,65808.375460590104922,110639.80694349094119,97463.037074291569297,609126.64030724519398,314955.59872808650834,138195.38150294762454,83301.741088898837916,142370.46855719256564,77239.110507131408667,76869.110507131408667,516805.19899286294822,80670.240476511971792,118903.8269219808426,166229.68876293316134,48013.5011266168367,55243.149118913199345,170124.49780151344021,159070.81677497227793,156849.74713125624112,167803.48217859768192,203744.24825787302689,67479.218022448039846,113433.8765864069137,48848.518537145784649,200895.00620282810996,102426.61542367200309,54632.623002719694341,115914.8939977359114,72248.988631028420059,70224.953809170488967,57038.675235106704349,51731.910399532825977,76474.075686073381803,56060.657824577683641,130667.69868799316464,51968.570769532751001,53531.605591390725749,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
8,65676.461114090110641,110418.558197790946,97267.670257291567395,607914.36416074517183,314322.74382518650964,137919.02929604763631,83134.760903398841037,142085.76734099257737,77084.65383553141146,76714.65383553141146,515779.10575316293398,80508.269696611969266,118665.88015768084733,165896.5632929331623,47917.487520016838971,55132.942196513198724,169783.85822311343509,158752.71952167229028,156538.32908535623574,167543.09649769772659,203336.81660537302378,67343.964072248039884,113205.94863320692093,48750.835128645783698,200973.92355952810613,102466.73449837199587,54653.920783119690896,115960.29624273591617,72277.220572428414016,70252.525354270488606,56925.963609906706552,51629.217585432823398,76503.958618273376487,56082.616001277681789,130408.87940049316967,51988.877955432748422,53425.573173590724764,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
9,65544.54676759011636,110197.3094520909508,97072.303440291565494,607384.59116424515378,314447.88892228651093,137642.67708914764808,82967.780717898844159,141801.06612479258911,76930.197163931414252,76560.197163931414252,515982.01251346291974,80346.29891671196674,118427.93339338085207,165563.43782293316326,47821.473913416841242,55154.735274113198102,169443.21864471342997,158434.62226837230264,156599.91103945623036,167209.1361267977336,202929.38495287302067,67370.710122048039921,112978.02068000692816,48770.151720145782747,201052.84091622810229,102506.85357307198865,54675.21856351968745,116005.69848773592093,72305.452513828407973,70280.096899370488245,56948.251984706708754,51649.524771332820819,76533.841550473371171,56104.574177977679938,130460.0601129931747,52009.185141332745843,53446.540755790723779,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
