Timestep,Node_0
0,33.785004154403111443
1,33.785004154403111443
2,33.785004154403111443
3,33.785004154403111443
4,33.785004154403111443
5,33.785004154403111443
6,41.167441286839618897
7,41.167441286839618897
8,41.167441286839618897
9,33.785004154403111443
10,33.785004154403111443
11,33.785004154403111443
12,33.785004154403111443
13,33.785004154403111443
14,33.785004154403111443
15,33.785004154403111443
16,41.167441286839618897
17,41.167441286839618897
18,41.167441286839618897
19,41.167441286839618897
20,41.167441286839618897
21,41.167441286839618897
22,33.785004154403111443
23,33.785004154403111443
