Timestep,Node_0
0,24213.212680000000546
1,22950.234519999994518
2,22129.655320000016218
3,21595.281409999981406
4,21316.281179999990854
5,21701.05645999999615
6,22863.775729999964824
7,25064.482290000018111
8,27907.911989999982325
9,31114.281230000011419
10,33570.662859999967623
11,36328.845399999911024
12,37609.978119999941555
13,37529.12271999996301
14,38880.136669999978039
15,39447.275609999931476
16,39194.082230000021809
17,37901.398589999960677
18,36415.60646000001725
19,34376.026110000020708
20,32403.435299999935523
21,30639.988050000025396
22,30386.903919999993377
23,28646.605649999979505
