Date;imp_pmax_ES00277;imp_pmax_ES00813;imp_pmax_ES00817;imp_pmax_ES00818;imp_pmax_ES01092;imp_pmax_ES00742;imp_pmax_ES00859;imp_pmax_ES00981;imp_pmax_ES01126
02/07/2050 00:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 01:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 02:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 03:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 04:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 05:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 06:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 07:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 08:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 09:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 10:00;759.912713538369;52.24399905576287;189.97817838459224;189.97817838459224;189.97817838459224;122.91325325821323;437.02490047364705;122.91325325821323;699.2398407578354
02/07/2050 11:00;1623.4905863855943;111.61497781400962;405.87264659639857;405.87264659639857;405.87264659639857;262.5939875088854;933.6675111427036;262.5939875088854;1493.868017828326
02/07/2050 12:00;2212.214903051865;152.08977458481573;553.0537257629662;553.0537257629662;553.0537257629662;357.818109627769;1272.242167565401;357.818109627769;2035.5874681046416
02/07/2050 13:00;1568.4646132159448;107.8319421585962;392.1161533039862;392.1161533039862;392.1161533039862;253.69372665591402;902.0221392210277;253.69372665591402;1443.2354227536446
02/07/2050 14:00;1295.1362587656088;89.0406177901356;323.7840646914022;323.7840646914022;323.7840646914022;209.48381062914584;744.8313266814075;209.48381062914584;1191.730122690252
02/07/2050 15:00;2986.602205399201;205.32890162119506;746.6505513498003;746.6505513498003;746.6505513498003;483.0725775654958;1717.5913868995406;483.0725775654958;2748.1462190392654
02/07/2050 16:00;3274.0771716353765;225.09280554993217;818.5192929088441;818.5192929088441;818.5192929088441;529.5706591225946;1882.9178991025587;529.5706591225946;3012.6686385640946
02/07/2050 17:00;3022.0687919857833;207.76722944902264;755.5171979964458;755.5171979964458;755.5171979964458;488.8091752847559;1737.9881787902434;488.8091752847559;2780.7810860643895
02/07/2050 18:00;2524.2937900552024;173.54519806629517;631.0734475138006;631.0734475138006;631.0734475138006;408.29579027634486;1451.7183654270038;408.29579027634486;2322.7493846832067
02/07/2050 19:00;1820.4942881992783;125.15898231370039;455.1235720498196;455.1235720498196;455.1235720498196;294.4586549403354;1046.9641064545258;294.4586549403354;1675.1425703272416
02/07/2050 20:00;1223.694213365143;84.1289771688536;305.92355334128575;305.92355334128575;305.92355334128575;197.92830686779337;703.7450910854875;197.92830686779337;1125.9921457367802
02/07/2050 21:00;840.1865565505018;57.762825762847;210.04663913762545;210.04663913762545;210.04663913762545;135.8972697384983;483.1902924035495;135.8972697384983;773.1044678456793
02/07/2050 22:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
02/07/2050 23:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 00:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 01:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 02:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 03:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 04:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 05:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 06:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 07:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 08:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 09:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 10:00;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
03/07/2050 11:00;120.20974053050445;8.264419661472182;30.052435132626112;30.052435132626112;30.052435132626112;19.443509785659042;69.13247923789882;19.443509785659042;110.61196678063811
03/07/2050 12:00;129.52268086919076;8.904684309756865;32.38067021729769;32.38067021729769;32.38067021729769;20.949845676655794;74.48834018366506;20.949845676655794;119.1813442938641
03/07/2050 13:00;377.26814905591976;25.937185247594485;94.31703726397994;94.31703726397994;94.31703726397994;61.02181832864711;216.96646516852306;61.02181832864711;347.1463442696369
03/07/2050 14:00;662.5902155114123;45.5530773164096;165.64755387785308;165.64755387785308;165.64755387785308;107.17167579202008;381.0548472605158;107.17167579202008;609.6877556168255
