Timestep;a_0;a_1;a_2;a_3;a_4;a_5;a_6;a_7;a_8;a_9;a_10;a_11;a_12;a_13;a_14;a_15;a_16;a_17;a_18;a_19;a_20;a_21;a_22;a_23;a_24;a_25;a_26;a_27;a_28;a_29;a_30;a_31;a_32;a_33;a_34;a_35;a_36;b
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.949816918031062e10
0;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;-31.907782104734608;2.977048604722993e10
0;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;-39.80203842672221;3.0051894870527214e10
0;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;-28.652361413082087;3.0015399162583847e10
0;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;-34.31344645228015;3.170928936861973e10
0;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;-33.139396016246145;3.171227722035626e10
0;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;-31.240194757473326;3.2168861705097095e10
0;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;-31.240194589847306;3.2461863685090137e10
0;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;-31.240217419518405;3.246061757664167e10
0;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;-31.513980535319455;3.2465333295953667e10
0;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;-32.50040232731498;3.2495058627232903e10
0;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;-32.50399914104401;3.252760339757188e10
0;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;-31.26094453468273;3.253953713424031e10
0;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;-28.416348226828067;3.2617702906909706e10
0;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;-28.75251529396874;3.2617935698138298e10
0;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;-32.322160688771184;3.2664014094164406e10
0;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;-33.56492146979531;3.268396614080179e10
0;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;-33.07714941024213;3.270166936391353e10
0;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;-30.657880873987228;3.2875220264421127e10
0;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;-30.85629614728407;3.287616328430557e10
0;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;-32.10117780272913;3.29523297412517e10
0;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;-31.914502561007968;3.2953404891342075e10
