Timestep,Node_0
0,93.13669444444444423
1,93.133222222222229902
2,93.133222222222229902
3,93.132527777777781353
4,93.128361111111118475
5,93.133916666666664241
6,93.13669444444444423
7,93.13669444444444423
8,93.13669444444444423
9,93.13669444444444423
10,93.13669444444444423
11,93.13669444444444423
12,93.13669444444444423
13,93.13669444444444423
14,93.13669444444444423
15,93.13669444444444423
16,93.13669444444444423
17,93.13669444444444423
18,93.13669444444444423
19,93.13669444444444423
20,93.13669444444444423
21,93.13669444444444423
22,93.13669444444444423
23,93.13669444444444423
