Timestep,a_0,a_1,b
7,-28.196327456847388504,-31.254047910394980647,31183680663.796802521
8,-26.480000394414219045,0,27410057749.503425598
8,-31.918045947109465743,-31.640691366747194735,27462551182.299316406
8,-26.057188871878263825,-39.802038426722212705,27765021900.539241791
8,-34.09862679299134669,-25.185129862875186291,27778382006.942596436
8,-41.37269982873659302,-34.141958009648057271,29687087726.161651611
8,-16.579468692255193929,-31.916461024214058284,29368028163.277252197
8,-29.864734037495818342,-31.240194757473325637,29832964496.568843842
8,-33.024231549820704856,-31.240194589847305906,30186511487.209453583
8,-23.175025973584293837,-31.241412704827272506,30043615364.157524109
8,-28.053033261069526105,-32.580571939185198005,30134304199.503913879
8,-33.895367370807520047,-32.503409652818696429,30231490066.748947144
8,-29.8892517175875021,-32.504297403930038968,30184446338.564613342
8,-30.395079736473089582,-31.260944534682728602,30206470210.187923431
8,-33.413142180079823618,-28.416348226828066714,30374181335.520515442
8,-22.551671251664149764,-31.572618142131865682,30223159616.483333588
8,-29.42896269574728052,-32.322160688771148784,30358562467.899223328
8,-35.088154877558650924,-33.56492146979530844,30472533400.316551208
8,-20.295790884617577632,-31.993064980981280598,30262165852.653427124
8,-29.054037342119169551,-30.657880873987227943,30541786081.547885895
8,-32.423028682579015936,-37.807242048120727418,30554673568.244091034
8,-36.920913565413677304,-31.444671166237611715,30794496226.419139862
8,-21.389511780113224404,-31.402259586346254139,30590475994.682815552
8,-28.022051831213172335,-31.190060908097940739,30810033756.95450592
8,-31.653693636087606222,-32.159028490889021157,30861586493.344722748
8,-30.738791507502941869,-31.190228635562743165,30850004283.73764801
8,-31.153425378752949371,-31.465051883166026414,30857275460.08045578
8,-31.162702752778713489,-31.26030408411534367,30859340772.4467659
8,-31.269310624962134426,-31.255723968306398319,30860532941.716773987
8,-31.36124632901329079,-31.254047911422357942,30865357052.537158966
8,-23.975234231797013962,-31.254047911417423222,30753638073.370414734
8,-28.736075171661340732,-31.25404790991070314,30829195568.296257019
9,-26.480000394414219045,0,27076565899.437355042
9,-54.935074825750348282,-49.539946197793689464,27153421576.252292633
9,-26.818055716999410265,-39.802038426722212705,27409784542.625400543
9,-34.09862679299134669,-25.185129862875164974,27418870471.19222641
9,-41.37269982873659302,-34.141958009648035954,29339614257.835384369
9,-18.260449546277488508,-31.886343733380556387,29041977887.088912964
9,-29.864734037495800578,-31.240194757473325637,29461928217.542976379
9,-33.024231549820704856,-31.240194589847305906,29818383420.511444092
9,-24.96038771810912138,-31.242081625838373782,29702380203.468486786
9,-28.565215064415983903,-32.692314243183723477,29772071004.359146118
9,-33.895367370807520047,-32.503409652818696429,29865562395.309024811
9,-26.19880618359519886,-32.505281180284491427,29760186997.613731384
9,-30.395079736473082477,-31.260944534682728602,29834937266.384853363
9,-33.413142180079823618,-28.416348226828066714,30009715494.113197327
9,-24.116213393999483827,-31.607993893019738607,29881126948.828807831
9,-29.883855518452783429,-32.272564918554721203,29993513535.544071198
9,-35.088154877558650924,-33.56492146979530844,30109616681.772411346
9,-19.045547553874889957,-31.508227057162415008,29881122770.375682831
9,-29.498514837636200525,-30.657880873987227943,30177522924.947875977
9,-41.589184641529080011,-60.150062572899052782,30209741111.451992035
9,-36.920913565413677304,-31.40466664553234466,30435908503.632446289
9,-22.97644689053963063,-31.401829635122041395,30252285456.088676453
9,-29.81393028947002577,-31.190060908097940739,30464715408.537361145
9,-31.653693636087606222,-32.045712130683291718,30490281854.522613525
9,-30.791640719961964834,-31.19023821998928625,30478754993.274707794
9,-31.229967955283381542,-31.480765653169900276,30485910029.559810638
9,-31.162702752778720594,-31.260304084115336565,30487086459.374389648
9,-31.360738307298685612,-31.251796027858230076,30489261121.948219299
9,-31.36124632901329079,-31.254047911422357942,30493311852.556503296
9,-25.42618249710820777,-31.25404791141023253,30404772981.952308655
9,-28.168273541296127149,-31.254047908864372118,30447921991.066383362
10,-26.480000394414219045,0,26745708514.709705353
10,-56.950556578659920604,-51.708163470572671372,26849165839.754985809
10,-33.681418557426347604,-39.802038426722212705,27147109369.785694122
10,-34.808139239829273492,-0.3273306243324593523,26917995950.498374939
10,-41.37269982873659302,-33.941104070228909961,28995734936.46579361
10,-18.550158074903542627,-31.736081702725993381,28693495391.238937378
10,-32.717301759112480397,-31.240194757473325637,29136683191.401367188
10,-33.024231549820704856,-31.240194589847305906,29454236991.442241669
10,-26.796123845643915473,-31.243499753956843534,29360799246.611412048
10,-29.765592873902797066,-32.747632067927355592,29421968311.194416046
10,-33.895367370807527152,-32.503409652818696429,29503576898.325386047
10,-26.564302449186268262,-32.506611490152444333,29396327907.924221039
10,-30.841156404343092134,-31.260944534682728602,29473050020.939785004
10,-33.413142180079823618,-28.416348226828066714,29649116105.479404449
10,-26.274704862891383073,-31.379255643748773963,29547222116.041072845
10,-30.350943526881437151,-32.129842276340937701,29632420088.625980377
10,-35.088154877558650924,-33.522609430690756938,29750592959.659130096
10,-17.595021447513165214,-31.089325826729464097,29502897674.506137848
10,-29.498514837636200525,-30.657880873987227943,29811376232.069522858
10,-41.589184641529094222,-60.150062572899052782,29869666733.18239975
10,-36.920913565413677304,-31.40466664553234466,30081130352.351833344
10,-25.720973371184136624,-31.401478896541110686,29930073462.315509796
10,-31.59851005661282386,-31.190060908097940739,30122085143.711765289
10,-31.653693636087606222,-31.850056726821478037,30123005344.171581268
10,-27.238000672035362015,-31.191748405868764848,30053876364.1443367
10,-31.191398451018272908,-31.51118914580339947,30117185051.809314728
10,-31.1505840392253468,-31.262257371547047313,30118774563.202465057
10,-31.407957753617530727,-31.249445474327885108,30121802575.493732452
10,-31.36124632901329079,-31.254047911422357942,30125323825.865039825
10,-27.090451331643574662,-31.25404791140342553,30057876767.26675415
10,-27.290404414416229883,-31.254047900739692523,30061346718.60175705
11,-26.480000394414219045,0,26348664203.069839478
11,-57.632684801482348291,-52.513000221714946747,26472307091.961292267
11,-35.024147955203481786,-39.802038426722212705,26735975450.034061432
11,-34.808139239829273492,-0.3273306243324593523,26517230802.097953796
11,-41.37269982873659302,-33.941104070228909961,28579513107.290248871
11,-15.710918227138082059,-31.354160827034512238,28243717913.50497818
11,-32.717301759112480397,-31.240194757473325637,28701044565.994358063
11,-33.024231549820704856,-31.240194589847305906,29019241705.580566406
11,-26.551326266969986989,-31.247869253976709558,28921454861.415142059
11,-28.989735719607146791,-33.106541498624615372,28977386638.433570862
11,-33.895367370807534257,-32.503409652818696429,29070604991.950145721
11,-26.424545591428390878,-32.509411646753903824,28960181003.592102051
11,-30.841156404343074371,-31.260944534682728602,29035206756.832454681
11,-33.413142180079823618,-28.416348226828066714,29217552141.28288269
11,-26.379250588617491502,-31.469725350020592458,29116155576.429077148
11,-30.350943526881426493,-32.108886491535479024,29195602187.313404083
11,-35.088154877558650924,-33.433149690869726101,29320375572.023670197
11,-15.441207246785335627,-30.657035975664037153,29066486178.652416229
11,-29.49851483763619342,-30.657880873987227943,29376647796.484107971
11,-41.589184641529129749,-60.150062572899052782,29458237696.749427795
11,-36.920913565413677304,-31.40466664553234466,29654775416.551624298
11,-26.093799927373471093,-31.400445037645955182,29505773688.358863831
11,-31.618936319947533065,-31.190060908097940739,29684571913.944396973
11,-31.653693636087606222,-31.758786389806225259,29685285684.17572403
11,-26.7049276377567395,-31.198392131835426255,29607829486.825260162
11,-30.123920973215405184,-31.465117079961405722,29663217004.034343719
11,-31.125807140751490465,-31.266076728297672815,29680087346.575588226
11,-31.407957753617530727,-31.249445474327892214,29683548984.476074219
11,-31.361246329013308554,-31.254047911422357942,29686977271.117145538
11,-26.706180711407721873,-31.254047911351154454,29613780227.119045258
11,-30.026657567386411785,-31.254047873262152279,29667091843.650741577
12,-26.480000394414215492,0,25926161990.670291901
12,-57.632684801482348291,-52.513000221714946747,26060921854.348339081
12,-35.024147955203481786,-39.802038426722212705,26278928964.206321716
12,-34.808139239829273492,-0.3273306243324593523,26087615305.559005737
12,-41.37269982873659302,-33.941104070228909961,28133491184.576675415
12,-15.16519753826260164,-31.240194757473325637,27817318139.55399704
12,-32.717301759112480397,-31.240194757473325637,28238185006.73197937
12,-33.024231549820704856,-31.240194589847305906,28556922327.690536499
12,-25.510482586001209881,-31.26337639824496506,28443006070.413208008
12,-28.308520104269724982,-33.633911255823647934,28511262766.652854919
12,-33.969110203433416473,-32.503409652818696429,28611181220.481834412
12,-25.249090365739792929,-32.517857085202365397,28481524316.467338562
12,-30.81834643928435824,-31.251884111239260022,28570520963.370429993
12,-33.413142180079823618,-28.416348226828066714,28758450443.242652893
12,-25.123331114142480658,-31.303767293352123602,28637708793.752418518
12,-30.350943526881419388,-32.014904184014689292,28732534099.770103455
12,-35.088154877558650924,-33.433149690869726101,28862245026.196727753
12,-16.231979284345737113,-30.657035975664037153,28659941452.908355713
12,-29.498514837636182762,-30.657880873987227943,28916045521.143016815
12,-41.58918464152914396,-60.150062572899052782,29017646585.323204041
12,-36.920913565413677304,-31.40466664553234466,29199919814.42722702
12,-24.885667223248486124,-31.39779608801163846,29031298802.161224365
12,-31.640554919905952147,-31.190060908097940739,29220285014.939941406
12,-31.653693636087599117,-31.520429772014225023,29220703238.368858337
12,-25.67527138389532837,-31.245609654478212036,29127477826.835540771
12,-29.314002357675235544,-31.346072456974479081,29186414569.767311096
12,-31.111909932979102678,-31.268129010386285671,29214919349.058444977
12,-31.417520388099660522,-31.248841977819189708,29218656346.634296417
12,-31.36124632901332987,-31.254047911422357942,29221903733.921802521
12,-25.808562582814936093,-31.254047911049458008,29134955749.486076355
12,-29.221559982602784089,-31.254047493686819337,29189428582.412906647
13,-26.480000394414194176,0,25583307206.401817322
13,-57.632684801482348291,-52.513000221714939642,25730829067.936195374
13,-35.024147955203481786,-39.802038426722212705,25907564901.129524231
13,-34.808139239829273492,-0.3273306243324593523,25741373184.448875427
13,-41.37269982873659302,-33.941104070228909961,27771512558.908874512
13,-16.429976753596307049,-31.240194757473325637,27489317508.400859833
13,-32.717301759112480397,-31.240194757473325637,27861049012.850772858
13,-33.024231549820704856,-31.240194589847305906,28180279325.365322113
13,-26.496475444534180355,-31.286351169085701684,28080729281.256137848
13,-28.286715256748667713,-33.829292945402123394,28137984326.574440002
13,-33.969110203433416473,-32.503409652818696429,28236360562.064804077
13,-26.469813431373260926,-32.527087086885828171,28124270950.666973114
13,-30.764132296899010299,-31.230349528201923448,28190891458.728065491
13,-33.413142180079823618,-28.416348226828066714,28384661703.414268494
13,-26.287524984649973447,-31.396196995086437909,28280384061.835269928
13,-30.775343390355672568,-32.014904184014689292,28360465296.99180603
13,-35.088154877558650924,-33.387177324572824944,28489499856.022907257
13,-17.844118342630181928,-30.657035975664037153,28334682162.738449097
13,-29.498514837636175656,-30.657880873987227943,28539913906.919567108
13,-41.589184641529158171,-60.150062572899052782,28662180459.235450745
13,-36.920913565413677304,-31.40466664553234466,28829903347.234764099
13,-26.117369998460144842,-31.395547161321488261,28676521634.246803284
13,-31.703045782216239701,-31.190060908097940739,28842488199.876495361
13,-31.619186345270478,-31.647322325831371614,28841577784.215358734
13,-26.501237837761603799,-31.2625040759993027,28761553906.127494812
13,-29.187622477501054874,-31.26730641269473665,28805868383.937038422
13,-31.217257810429000386,-31.268924640238164869,28837080004.244724274
13,-31.637384978433086502,-31.226793593158877371,28842068025.326251984
13,-31.364597279147485409,-31.254047911422357942,28842740115.904960632
13,-26.597458082836244131,-31.254047910764811036,28767985894.578205109
13,-26.569819840082818274,-31.254045742997327295,28767596242.563980103
14,-26.464045760199699231,0,25177776610.875804901
14,-57.63268480148233408,-52.370786761165838641,25326195221.558441162
14,-35.024147955203481786,-39.802038426722212705,25469059929.685958862
14,-34.808139239829273492,-0.3273306243324593523,25326775054.676795959
14,-41.37269982873659302,-33.941104070228909961,27339923356.554721832
14,-17.839011145555769389,-31.240194757473325637,27106301028.942966461
14,-32.717301759112480397,-31.240194757473325637,27417448860.033882141
14,-33.024231549820704856,-31.240194589847305906,27737035135.807723999
14,-29.067267875249338971,-31.321837546207998315,27676984089.605381012
14,-29.127442262271877382,-33.859328069644867298,27711640445.427959442
14,-33.969110203433416473,-32.503409652818696429,27794588774.636013031
14,-28.880278794355177752,-32.540131980693722369,27718980666.690032959
14,-31.261484857947994698,-31.230349528201905684,27753163249.157215118
14,-33.413142180079823618,-28.416348226828066714,27944071296.891021729
14,-28.874811593021060929,-31.332063378499618977,27878236559.15795517
14,-30.492236727320349843,-32.288240687509563998,27913078712.711391449
14,-35.088154877558650924,-33.387177324572839154,28049392003.245967865
14,-19.590944407266533744,-30.657035975664037153,27951942356.612670898
14,-29.498514837636161445,-30.657880873987227943,28099522386.371044159
