Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66573.775886090064887,111923.54816339090758,98830.60479329158261,613256.57333274534903,320143.58304838649929,139798.84695124754217,84470.602387398816063,143681.37707059248351,77950.30720833138912,77950.30720833138912,519071.85167076304788,81936.48431581184559,120370.60840208079026,168518.8517629331327,48455.596372816820804,55618.597575713203696,172320.02887031351565,160916.49754807219142,157537.67345255627879,168941.20477489763289,206108.26982537304866,68259.187933848035755,115302.3722588068631,49415.302396645791305,201884.73970592810656,102631.78190077205363,54354.53853991971846,116147.07828273587802,72222.36504122846236,70365.952993470491492,56882.656611506688932,51826.420468232769053,76445.895160673419014,56039.950587677696603,130929.43370049312944,51826.420468232769053,53511.832515990732645,9420,36171.06424429998151,10962,16705.832000000002154,38802,19053,28890,9686,5800,5610,20010,9628,3990,9779.3335057000513189,15834
1,66441.861539590070606,111967.29941769091238,98869.237976291580708,613496.29718624532688,320268.72814548650058,139853.49474434755393,84503.622201898819185,143396.67585439249524,77795.850536731391912,77795.850536731391912,518045.75843106303364,81968.513535911843064,120417.66163778079499,168584.72629293313366,48359.582766216823075,55508.390653313203075,172387.38929191351053,160979.40029477220378,157599.25540665627341,169007.24440399763989,206188.83817287304555,68123.933983648035792,115347.44430560687033,49434.618988145790354,201963.65706262810272,102671.90097547204641,54246.836320319715014,116192.48052773588279,72250.596982628456317,70226.524538570491131,56769.944986306691135,51723.727654132766475,76475.778092873413698,55928.908764377694752,130980.61441299313447,51723.727654132766475,53532.80009819073166,9420,36171.06424429998151,10584,16705.832000000002154,38545.699710000008054,19053,27927,9686,5600,5423,20010,9296,3990,9453.3335057000513189,15473.640000000006694
2,66309.947193090076325,112011.05067199091718,98907.871159291578806,613736.02103974530473,320393.87324258650187,139577.1425374475657,84536.642016398822307,143452.97463819250697,77826.393865131394705,77641.393865131394705,517019.6651913630194,82000.542756011840538,120464.71487348079972,168650.60082293313462,48378.569159616825345,55398.183730913202453,172454.74971351350541,161042.30304147221614,157660.83736075626803,169073.2840330976469,206269.40652037304244,68150.680033448035829,115392.51635240687756,49453.935579645789403,202042.57441932809888,102712.02005017203919,54139.134100719711569,116237.88277273588756,72278.828924028450274,70087.096083670490771,56792.233361106693337,51744.034840032763896,76505.661025073408382,55817.8669410776929,131031.79512549313949,51744.034840032763896,53426.767680390730675,9420,36171.06424429998151,10244.303489999976591,16705.832000000002154,37207.699710000008054,19053,27927,9352,5600,5423,19343,8964,3857,9127.3335057000513189,14927.640000000006694
3,66178.032846590082045,112054.80192629092198,98946.504342291576904,613975.74489324528258,320519.01833968650317,139300.79033054757747,84569.661830898825428,143168.27342199251871,77856.937193531397497,77486.937193531397497,517222.57195166300517,82032.571976111838012,120511.76810918080446,168716.47535293313558,48282.555553016827616,55419.976808513201831,172522.11013511350029,161105.20578817222849,157722.41931485626264,169139.3236621976539,206349.97486787303933,68177.426083248035866,115437.58839920688479,49473.252171145788452,202121.49177602809505,102752.13912487203197,54031.431881119708123,116283.28501773589232,72307.060865428444231,69947.66762877049041,56679.52173590669554,51641.342025932761317,76535.543957273403066,55706.825117777691048,131082.97583799314452,51641.342025932761317,53320.73526259072969,9291.5715544000104273,34942.06424429998151,9866.3034899999765912,16133.832000000003973,37081.551655599992955,18396,27927,9018,5600,5236,18676,8632,3724,9127.3335057000513189,14927.640000000006694
4,66046.118500090087764,112098.55318059092679,98985.137525291575002,614215.46874674526043,320644.16343678650446,139024.43812364758924,84602.68164539882855,142883.57220579253044,77887.48052193140029,77332.48052193140029,517425.47871196299093,82064.601196211835486,120558.82134488080919,168782.34988293313654,48301.541946416829887,55441.76988611320121,172589.47055671349517,161168.10853487224085,157784.00126895625726,169205.36329129766091,206430.54321537303622,68204.172133048035903,115482.66044600689202,49492.568762645787501,202200.40913272809121,102792.25819957202475,53923.729661519704678,116328.68726273589709,72335.292806828438188,69808.239173870490049,56566.810110706697742,51538.649211832758738,76565.42688947339775,55595.783294477689196,131134.15655049314955,51538.649211832758738,53214.702844790728705,8977.5715544000104273,34014.031214039910992,9802.3896802600102092,16133.832000000003973,35743.551655599992955,17739,26964,8684,5600,5087.5219999999999345,18009,8632,3724,9127.3335057000513189,14381.640000000006694
5,65914.204153590093483,112142.30443489093159,99023.770708291573101,614455.19260024523828,320769.30853388650576,138748.085916747601,84435.701459898831672,142598.87098959254217,77733.023850331403082,77178.023850331403082,516399.38547226297669,82096.63041631183296,120320.87458058081393,168848.2244129331375,48205.528339816832158,55331.562963713200588,172656.83097831349005,161173.1586215721909,157845.58322305625188,169271.40292039766791,206511.11156287303311,68230.91818284803594,115527.73249280689924,49394.88535414578655,202279.32648942808737,102832.37727427201753,53816.027441919701232,116374.08950773590186,72363.524748228432145,69668.810718970489688,56454.098485506699944,51435.956397732756159,76595.309821673392435,55484.741471177687345,131185.33726299315458,51435.956397732756159,53108.670426990727719,8663.5715544000104273,32785.031214039910992,9424.3896802600102092,15561.832000000003973,35743.551655599992955,17082,26001,8684,5400,4900.5219999999999345,17568.780000000006112,8300,3591,8801.3335057000513189,13835.640000000006694
6,65782.289807090099202,112186.05568919093639,99062.403891291571199,614245.27764426521026,320894.45363098650705,138471.73370984761277,84468.721274398834794,142314.16977339255391,77763.567178731405875,77023.567178731405875,516602.29223256296245,82128.659636411830434,120367.92781628081866,168914.09894293313846,48109.514733216834429,55221.356041313199967,172724.19139991348493,161236.06136827220325,157907.1651771562465,169337.44254949767492,206591.67991037303,68095.664232648035977,115572.80453960690647,49297.201945645785599,202358.24384612808353,102872.49634897201031,53708.325222319697787,116419.49175273590663,72391.756689628426102,69529.382264070489327,56341.386860306702147,51333.26358363275358,76625.192753873387119,55373.699647877685493,131236.51797549315961,51333.26358363275358,53002.638009190726734,8349.5715544000104273,31556.031214039910992,9200.5200000000004366,14989.832000000003973,34405.551655599992955,17082,25093.143669740016776,8684,5200,4713.5219999999999345,16901.780000000006112,7968,3467.5760000000009313,8475.3335057000513189,13289.640000000006694
7,65650.375460590104922,112229.80694349094119,99101.037074291569297,614485.00149776518811,321019.59872808650834,138526.38150294762454,84501.741088898837916,142370.46855719256564,77794.110507131408667,77054.110507131408667,516805.19899286294822,82160.688856511827908,120414.98105198082339,168580.97347293313942,48128.5011266168367,55243.149118913199345,172383.55182151347981,160917.96411497221561,157968.74713125624112,169403.48217859768192,206672.24825787302689,68122.410282448036014,115617.8765864069137,49316.518537145784649,202437.16120282807969,102912.61542367200309,53600.623002719694341,116464.8939977359114,72419.988631028420059,69556.953809170488967,56363.675235106704349,51230.570769532751001,76655.075686073381803,55262.657824577683641,131287.69868799316464,51230.570769532751001,52896.605591390725749,8349.5715544000104273,31535.17210404008074,9200.5200000000004366,14989.832000000003973,34405.551655599992955,17082,25093.143669740016776,8684,5200,4713.5219999999999345,16901.780000000006112,7968,3467.5760000000009313,8475.3335057000513189,13289.640000000006694
8,65676.461114090110641,112273.558197790946,99139.670257291567395,614724.72535126516595,321144.74382518650964,138581.02929604763631,84534.760903398841037,142426.76734099257737,77824.65383553141146,77084.65383553141146,517008.10575316293398,82192.718076611825381,120462.03428768082813,168646.84800293314038,48147.487520016838971,55264.942196513198724,172450.91224311347469,160980.86686167222797,158030.32908535623574,169469.52180769768893,206752.81660537302378,68149.156332248036051,115662.94863320692093,49335.835128645783698,202516.07855952807586,102952.73449837199587,53621.920783119690896,116510.29624273591617,72448.220572428414016,69584.525354270488606,56385.963609906706552,51250.877955432748422,76684.958618273376487,55284.616001277681789,131338.87940049316967,51250.877955432748422,52917.573173590724764,8349.5715544000104273,31535.17210404008074,9527.8680000000003929,14989.832000000003973,35564.259655599991675,17650.961999999999534,25236.378000000011525,8973.2440000000005966,5200,4713.5219999999999345,17479.402000000005501,8255.5120000000006257,3467.5760000000009313,8475.3335057000513189,13762.476000000006024
9,65702.54676759011636,112317.3094520909508,99178.303440291565494,614964.4492047651438,321269.88892228651093,138635.67708914764808,84567.780717898844159,142483.06612479258911,77855.197163931414252,77115.197163931414252,517211.01251346291974,82224.747296711822855,120509.08752338083286,168712.72253293314134,48166.473913416841242,55286.735274113198102,172518.27266471346957,161043.76960837224033,158091.91103945623036,169535.56143679769593,206833.38495287302067,68175.902382048036088,115708.02068000692816,49355.151720145782747,202594.99591622807202,102992.85357307198865,53643.21856351968745,116555.69848773592093,72476.452513828407973,69612.096899370488245,56408.251984706708754,51271.185141332745843,76714.841550473371171,55306.574177977679938,131390.0601129931747,51271.185141332745843,52938.540755790723779,8487.8018681999965338,32599.486104040079226,9855.2160000000003492,15485.184000000004744,36722.967655599990394,18219.923999999999069,26070.336000000010245,9262.4880000000011933,5373.1999999999998181,4875.4639999999999418,18057.024000000004889,8543.0240000000012515,3582.7540000000008149,8757.6495057000520319,14235.312000000005355
