Zone;Name;NumberUnits;MaxPower;MaxPowerProfile;VariableCost;FixedCost;InvestmentCost;Capacity;Energy;MaxAddedCapacity
ES00242;G0160;1;1102.0;;12.42;100122.75;6.357e6;1102.0;0.0;111.0
ES00370;G0285;1;1087.0;;12.42;100122.75;6.357e6;1087.0;0.0;109.0
ES00391;G0307;1;1066.0;;12.42;100122.75;6.357e6;1066.0;0.0;107.0
ES00478;G0375;1;50.0;;82.0;6500.345;688675.0;50.0;0.0;5.0
ES00858;G0644;1;25.0;;31.24;18011.5;663122.3529;25.0;0.0;3.0
ES00277;IMP;1;1.0;imp_pmax_ES00277.csv;0.001;0.0;0.0;0.0;0.0;0.0
ES00813;IMP;1;1.0;imp_pmax_ES00813.csv;0.001;0.0;0.0;0.0;0.0;0.0
ES00817;IMP;1;1.0;imp_pmax_ES00817.csv;0.001;0.0;0.0;0.0;0.0;0.0
ES00818;IMP;1;1.0;imp_pmax_ES00818.csv;0.001;0.0;0.0;0.0;0.0;0.0
ES01092;IMP;1;1.0;imp_pmax_ES01092.csv;0.001;0.0;0.0;0.0;0.0;0.0
ES00742;IMP;1;1.0;imp_pmax_ES00742.csv;0.001;0.0;0.0;0.0;0.0;0.0
ES00859;IMP;1;1.0;imp_pmax_ES00859.csv;0.001;0.0;0.0;0.0;0.0;0.0
ES00981;IMP;1;1.0;imp_pmax_ES00981.csv;0.001;0.0;0.0;0.0;0.0;0.0
ES01126;IMP;1;1.0;imp_pmax_ES01126.csv;0.001;0.0;0.0;0.0;0.0;0.0
