Countries;Continent;NodeSusceptance;NodeConductance;NodeMinVoltage;NodeMaxVoltage
ES00123;Continent;0.0;0.0;198.0;242.00000000000003
ES00124;Continent;0.0;0.0;360.0;440.00000000000006
ES00125;Continent;0.0;0.0;198.0;242.00000000000003
ES00126;Continent;0.0;0.0;360.0;440.00000000000006
ES00127;Continent;0.0;0.0;198.0;242.00000000000003
ES00128;Continent;0.0;0.0;360.0;440.00000000000006
ES00129;Continent;0.0;0.0;198.0;242.00000000000003
ES00130;Continent;0.0;0.0;360.0;440.00000000000006
ES00131;Continent;0.0;0.0;198.0;242.00000000000003
ES00132;Continent;0.0;0.0;198.0;242.00000000000003
ES00134;Continent;0.0;0.0;198.0;242.00000000000003
ES00135;Continent;0.0;0.0;360.0;440.00000000000006
ES00136;Continent;0.0;0.0;198.0;242.00000000000003
ES00137;Continent;0.0;0.0;360.0;440.00000000000006
ES00140;Continent;0.0;0.0;198.0;242.00000000000003
ES00141;Continent;0.0;0.0;198.0;242.00000000000003
ES00142;Continent;0.0;0.0;198.0;242.00000000000003
ES00143;Continent;0.0;0.0;198.0;242.00000000000003
ES00144;Continent;0.0;0.0;198.0;242.00000000000003
ES00145;Continent;0.0;0.0;198.0;242.00000000000003
ES00146;Continent;0.0;0.0;360.0;440.00000000000006
ES00147;Continent;0.0;0.0;198.0;242.00000000000003
ES00148;Continent;0.0;0.0;360.0;440.00000000000006
ES00149;Continent;0.0;0.0;198.0;242.00000000000003
ES00150;Continent;0.0;0.0;360.0;440.00000000000006
ES00151;Continent;0.0;0.0;198.0;242.00000000000003
ES00152;Continent;0.0;0.0;198.0;242.00000000000003
ES00153;Continent;0.0;0.0;360.0;440.00000000000006
ES00154;Continent;0.0;0.0;198.0;242.00000000000003
ES00155;Continent;0.0;0.0;198.0;242.00000000000003
ES00156;Continent;0.0;0.0;198.0;242.00000000000003
ES00157;Continent;0.0;0.0;360.0;440.00000000000006
ES00158;Continent;0.0;0.0;198.0;242.00000000000003
ES00159;Continent;0.0;0.0;360.0;440.00000000000006
ES00160;Continent;0.0;0.0;198.0;242.00000000000003
ES00161;Continent;0.0;0.0;198.0;242.00000000000003
ES00162;Continent;0.0;0.0;198.0;242.00000000000003
ES00163;Continent;0.0;0.0;360.0;440.00000000000006
ES00164;Continent;0.0;0.0;198.0;242.00000000000003
ES00165;Continent;0.0;0.0;360.0;440.00000000000006
ES00166;Continent;0.0;0.0;198.0;242.00000000000003
ES00167;Continent;0.0;0.0;118.8;145.20000000000002
ES00168;Continent;0.0;0.0;198.0;242.00000000000003
ES00169;Continent;0.0;0.0;198.0;242.00000000000003
ES00170;Continent;0.0;0.0;198.0;242.00000000000003
ES00171;Continent;0.0;0.0;360.0;440.00000000000006
ES00172;Continent;0.0;0.0;198.0;242.00000000000003
ES00173;Continent;0.0;0.0;198.0;242.00000000000003
ES00174;Continent;0.0;0.0;360.0;440.00000000000006
ES00175;Continent;0.0;0.0;198.0;242.00000000000003
ES00176;Continent;0.0;0.0;360.0;440.00000000000006
ES00177;Continent;0.0;0.0;360.0;440.00000000000006
ES00178;Continent;0.0;0.0;198.0;242.00000000000003
ES00179;Continent;0.0;0.0;360.0;440.00000000000006
ES00180;Continent;0.0;0.0;198.0;242.00000000000003
ES00181;Continent;0.0;0.0;360.0;440.00000000000006
ES00182;Continent;0.0;0.0;360.0;440.00000000000006
ES00183;Continent;0.0;0.0;198.0;242.00000000000003
ES00184;Continent;0.0;0.0;360.0;440.00000000000006
ES00185;Continent;0.0;0.0;198.0;242.00000000000003
ES00186;Continent;0.0;0.0;360.0;440.00000000000006
ES00187;Continent;0.0;0.0;198.0;242.00000000000003
ES00188;Continent;0.0;0.0;360.0;440.00000000000006
ES00189;Continent;0.0;0.0;198.0;242.00000000000003
ES00190;Continent;0.0;0.0;360.0;440.00000000000006
ES00191;Continent;0.0;0.0;198.0;242.00000000000003
