index;node;mc;mc_heat;g_max;eta;plant_type;storage_power;storage_capacity
G0090;ES00157;64.022;0.0;50.0;1.0;Biomass;0.0;0.0
G0190;ES00287;64.022;0.0;38.0;1.0;Biomass;0.0;0.0
G0315;ES00399;64.022;0.0;50.0;1.0;Biomass;0.0;0.0
G0443;ES00553;64.022;0.0;37.0;1.0;Biomass;0.0;0.0
G0445;ES00553;64.022;0.0;40.0;1.0;Biomass;0.0;0.0
G0455;ES00570;64.022;0.0;50.0;1.0;Biomass;0.0;0.0
G0567;ES00740;64.022;0.0;30.0;1.0;Biomass;0.0;0.0
G0704;ES00960;64.022;0.0;50.0;1.0;Biomass;0.0;0.0
G0746;ES01032;64.022;0.0;57.0;1.0;Biomass;0.0;0.0
G0845;ES01171;64.022;0.0;50.0;1.0;Biomass;0.0;0.0
G0846;ES01171;64.022;0.0;41.0;1.0;Biomass;0.0;0.0
G0039;ES00072;13.05;0.0;366.0;1.0;Coal;0.0;0.0
G0040;ES00072;13.05;0.0;369.0;1.0;Coal;0.0;0.0
G0058;ES00101;13.05;0.0;556.0;1.0;Coal;0.0;0.0
G0059;ES00101;13.05;0.0;360.0;1.0;Coal;0.0;0.0
G0109;ES00187;13.05;0.0;589.0;1.0;Coal;0.0;0.0
G0204;ES00291;13.05;0.0;130.0;1.0;Coal;0.0;0.0
G0206;ES00291;13.05;0.0;130.0;1.0;Coal;0.0;0.0
G0446;ES00558;13.05;0.0;350.0;1.0;Coal;0.0;0.0
G0742;ES01013;13.05;0.0;50.0;1.0;Coal;0.0;0.0
G0004;ES00007;31.24;0.0;389.0;1.0;Gas;0.0;0.0
G0005;ES00007;31.24;0.0;373.0;1.0;Gas;0.0;0.0
G0006;ES00007;31.24;0.0;823.0;1.0;Gas;0.0;0.0
G0041;ES00072;31.24;0.0;856.0;1.0;Gas;0.0;0.0
G0045;ES00080;31.24;0.0;800.0;1.0;Gas;0.0;0.0
G0065;ES00117;31.24;0.0;412.0;1.0;Gas;0.0;0.0
G0066;ES00117;31.24;0.0;411.0;1.0;Gas;0.0;0.0
G0067;ES00117;31.24;0.0;410.0;1.0;Gas;0.0;0.0
