Name;StartLine;EndLine;MaxPowerFlow;MinPowerFlow;Susceptance;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
LLTGES0056;ES00091;ES00840;427.053;-427.053;0.16352585295383704;500.0;0.0;100.0
LLTGES0057;ES00091;ES00764;427.053;-427.053;1.5215691270085596;500.0;0.0;100.0
LLTGES0058a;ES00093;ES00094;854.105;-854.105;0.6663806395657926;500.0;0.0;100.0
LLTGES0059;ES00095;ES00044;427.053;-427.053;0.22344721445580246;500.0;0.0;100.0
LLTGES0060;ES00098;ES01026;1552.919;-1552.919;0.08014147433103762;500.0;0.0;100.0
LLTGES0061;ES00099;ES00058;1552.919;-1552.919;0.05811768553489931;500.0;0.0;100.0
LLTGES0062;ES00098;ES01021;1552.919;-1552.919;0.10117380366418943;500.0;0.0;100.0
LLTGES0063;ES01021;ES00039;1552.919;-1552.919;0.07070557611765683;500.0;0.0;100.0
LLTGES0064a;ES00699;ES00778;854.105;-854.105;0.23863294747707062;500.0;0.0;100.0
LLTGES0065a;ES00778;ES00038;854.105;-854.105;0.08004246409614167;500.0;0.0;100.0
LLTGES0066a;ES00044;ES00038;854.105;-854.105;0.4193300743724377;500.0;0.0;100.0
LLTGES0067a;ES00100;ES00101;854.105;-854.105;1.3122362080977312;500.0;0.0;100.0
LLTGES0068;ES00102;ES00103;854.105;-854.105;0.3123455685941325;500.0;0.0;100.0
LLTGES0069a;ES00105;ES00883;854.105;-854.105;0.6216527561708124;500.0;0.0;100.0
LLTGES0070;ES00106;ES00052;427.053;-427.053;0.4049803760098828;500.0;0.0;100.0
LLTGES0071;ES00107;ES00059;427.053;-427.053;0.1260471466160937;500.0;0.0;100.0
LLTGES0072;ES00108;ES00107;427.053;-427.053;0.12555187295551967;500.0;0.0;100.0
LLTGES0073;ES00109;ES00982;427.053;-427.053;0.08957934305348964;500.0;0.0;100.0
LLTGES0074;ES00055;ES00695;1552.919;-1552.919;0.1019203788057318;500.0;0.0;100.0
LLTGES0075;ES00694;ES00729;1552.919;-1552.919;0.0703949189290907;500.0;0.0;100.0
LLTGES0076;ES00055;ES00041;1552.919;-1552.919;0.07923780192018319;500.0;0.0;100.0
LLTGES0077;ES00055;ES00089;1552.919;-1552.919;0.10843180528059719;500.0;0.0;100.0
LLTGES0078a;ES00111;ES00055;3105.838;-3105.838;0.3512030589272477;500.0;0.0;100.0
LLTGES0079;ES00112;ES00054;427.053;-427.053;0.02814494113201775;500.0;0.0;100.0
LLTGES0080;ES00710;ES00730;1552.919;-1552.919;0.05086312237543188;500.0;0.0;100.0
LLTGES0081;ES00114;ES00116;1281.158;-1281.158;3.94480884779997;500.0;0.0;100.0
LLTGES0083a;ES00116;ES00119;854.105;-854.105;3.511313370019753;500.0;0.0;100.0
LLTGES0084;ES00115;ES00264;1552.919;-1552.919;0.09155362027577738;500.0;0.0;100.0
LLTGES0085a;ES00116;ES00117;854.105;-854.105;3.4358012545354573;500.0;0.0;100.0
LLTGES0086;ES00115;ES00122;1552.919;-1552.919;0.16164127873548262;500.0;0.0;100.0
LLTGES0087a;ES00124;ES00126;3105.838;-3105.838;0.10967883042347369;500.0;0.0;100.0
LLTGES0088;ES00043;ES00079;1552.919;-1552.919;0.05649465285000366;500.0;0.0;100.0
LLTGES0089;ES00079;ES00698;1552.919;-1552.919;1.935010090369691;500.0;0.0;100.0
LLTGES0090;ES00711;ES00128;1552.919;-1552.919;0.04826450038637499;500.0;0.0;100.0
LLTGES0091;ES00127;ES00131;427.053;-427.053;0.03912446634894056;500.0;0.0;100.0
LLTGES0092;ES00041;ES00685;1552.919;-1552.919;0.018912464644531186;500.0;0.0;100.0
LLTGES0093a;ES00040;ES00132;854.105;-854.105;0.2229016509743966;500.0;0.0;100.0
LLTGES0094;ES00041;ES00128;1552.919;-1552.919;0.018659605362271778;500.0;0.0;100.0
LLTGES0095;ES00728;ES00729;1552.919;-1552.919;0.24393854367023504;500.0;0.0;100.0
LLTGES0096;ES00729;ES00041;1552.919;-1552.919;0.14320596664516483;500.0;0.0;100.0
LLTGES0098;ES00719;ES00718;427.053;-427.053;0.7699506425826447;500.0;0.0;100.0
LLTGES0099;ES00718;ES00720;427.053;-427.053;0.8543569964486565;500.0;0.0;100.0
LLTGES0100;ES00135;ES00066;1552.919;-1552.919;0.06309815512075079;500.0;0.0;100.0
LLTGES0101a;ES00066;ES00137;3105.838;-3105.838;0.8990955975455129;500.0;0.0;100.0
LLTGES0105;ES00140;ES00086;854.105;-854.105;0.20102517563497804;500.0;0.0;100.0
LLTGES0106;ES00054;ES00060;427.053;-427.053;0.07398229142667227;500.0;0.0;100.0
LLTGES0107;ES00054;ES01147;427.053;-427.053;0.03808910676740941;500.0;0.0;100.0
LLTGES0108a;ES00136;ES00141;1281.158;-1281.158;1.5024898903062582;500.0;0.0;100.0
LLTGES0109;ES00142;ES00141;427.053;-427.053;0.1296265787715203;500.0;0.0;100.0
LLTGES0110;ES00041;ES00221;1552.919;-1552.919;0.01777050082992573;500.0;0.0;100.0
LLTGES0111a;ES00143;ES00144;854.105;-854.105;0.4212650186839783;500.0;0.0;100.0
LLTGES0112a;ES00146;ES00148;3105.838;-3105.838;2.159283497070221;500.0;0.0;100.0
LLTGES0113a;ES00145;ES00147;854.105;-854.105;1.7225310871795017;500.0;0.0;100.0
LLTGES0114a;ES00145;ES00149;854.105;-854.105;2.790650800627053;500.0;0.0;100.0
LLTGES0115a;ES00153;ES00135;3105.838;-3105.838;0.8292900387298674;500.0;0.0;100.0
LLTGES0116;ES00753;ES00154;427.053;-427.053;0.30258476957556585;500.0;0.0;100.0
LLTGES0117;ES01009;ES00155;427.053;-427.053;0.3318063516841096;500.0;0.0;100.0
LLTGES0118;ES00159;ES00819;1552.919;-1552.919;0.02869454034719722;500.0;0.0;100.0
LLTGES0119;ES00160;ES00158;1281.158;-1281.158;4.500415727771797;500.0;0.0;100.0
