Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66055.214838816056727,110784.74689013419265,97819.904867798279156,607087.79132027633023,316855.03335697675357,138279.08243350867997,83604.270949769081199,142577.09250882774359,77338.748578684739186,77285.891868397651706,513777.20185481599765,81045.745880405054777,119062.04971434731851,166827.27793711703271,48082.41815453684103,55144.528664810131886,170589.02175502487808,159301.73053842538502,155961.78048093075631,167247.32474321647896,203867.64965558011318,67726.49575402381015,114130.22121265437454,48918.423344788025133,199690.03389177657664,101582.51191244093934,53935.06471541767678,114884.43396771677362,71437.229870043156552,69815.74285297364986,56443.191997484806052,51426.773787831050868,75664.399490409996361,55607.051995029542013,171424.67094504687702,51426.955588325537974,53099.223536911471456,9420.0003556632163964,35729.976378920786374,10962.002499638601876,16588.00281135971818,40140.000195762891963,19276.383793800065177,28890.000423876015702,10020.000791644068158,5800.0029067147179376,5610.0018625221209732,19343.010529986211623,9740.8846464268590353,3857.0028993490218454,9454.0019326400706632,15834.004788217767782
1,65923.079318689313368,110563.1267979555123,97687.971326359198429,606370.94753862731159,316412.36731915187556,138117.26663280036882,83437.010375482801464,142411.75325121372589,77184.032720120929298,77184.236168137591449,513108.37369439494796,80934.293395551343565,118823.70371457200963,166634.46374885449768,47986.243854954460403,55034.137201593453938,170390.283155193727,159117.97334399825195,155783.42623285614536,167054.40856041008374,203618.90505645476514,67640.182948403977207,113952.87609916270594,48860.879106446867809,199446.41015486826655,101446.23387387403636,53870.923852606407308,114737.27644509037782,71342.769785230964771,69676.080565242606099,56375.65997713978868,51365.98819734116114,75562.705409335976583,55540.53757483822119,171224.9974034113402,51366.308068558733794,53036.365048015402863,9106.0031951524997567,34589.151530170951446,10905.271358699787015,16588.002542486494349,38802.002500827235053,18619.386949597410421,28890.002644774453074,10020.001233243679962,5600.0056511804932597,5423.0041110355714409,19343.012432271665602,9408.8883152669222909,3724.0056618840371812,9138.2537094736144354,15834.005189969664571
2,65839.466558188403724,110418.94745450750634,97555.610950021451572,605650.57282112760004,315778.44887558289338,137954.54059611621778,83321.523697794676991,142246.09117500498542,77029.316850800634711,77082.246230108532473,512080.55625385470921,80822.408086807961809,118585.35769362557039,166441.17326295014936,47890.069534322079562,54967.884845645217865,170191.13555169131723,158933.68548058744636,155604.86863346671453,166860.84135135027464,203369.32298611078295,67553.522908792219823,113805.49080981187581,48803.019815340587229,199201.47650622090441,101309.37269519396068,53806.426243505135062,114507.29347502224846,71247.985529098805273,69585.647416795647587,56307.801144802826457,51263.123444861819735,75411.334672402867,55473.742635625538242,170963.596316534793,51305.336974393918354,52973.142010688578011,8792.0059202208940405,34589.151817942307389,10905.271329928355044,16588.00187609283239,37464.004790338265593,18619.38614589318604,28890.004408061337017,9686.0035913756564696,5400.0082070541338908,5354.3096228620006514,19343.013880179016269,9076.8917320064647356,3591.0085604994924324,8994.3102244532783516,15834.00492350793138
3,65756.199505926808342,110275.42222641255648,97423.608537432985031,604934.50328799220733,315335.13995445723413,137793.29639619335649,83206.303054471121868,142080.70175699371612,76927.541369773301994,76927.530355629802216,511421.43434928526403,80710.957267312041949,118435.83905871522438,166247.83571723723435,47833.464724112942349,54901.962858539642184,169993.9531300564413,158615.05455329580582,155426.96504567726515,166669.50883079686901,203122.43559550042846,67467.166018959411304,113658.46558767239912,48745.410678433763678,198957.75187404546887,101106.15112242952455,53742.236265157007438,114360.11089841269131,71153.441395097892382,69495.503744047746295,56239.089004226676479,51202.261844536194985,75309.520040461880853,55407.206171032165003,170635.05404854676453,51244.650023589907505,52910.220468867832096,8478.0086335734213208,33360.156014994907309,10905.271498665752006,16016.005122522021338,37464.00560443806171,17962.389079616248637,27927.0066001011146,9352.0060157110183354,5200.0107701874349004,5167.3117776911594774,18676.023452552151866,8744.895092896937058,3458.0112440781981604,8997.0697829396922316,15834.004972479600838
4,65672.984924164455151,110131.68556416560023,97227.913696493691532,604219.87252695066854,314892.61291988956509,137516.48064881117898,83091.093047107875464,141915.42461664031725,76825.785216034157202,76825.773411619476974,510753.90646476490656,80599.47710266149079,118286.40310474741273,166054.61091073113494,47737.290420394980174,54836.100676699155883,169652.74200896147522,158431.96122468032991,155251.4220136225922,166477.23548259650124,202874.17470058883191,67380.884122239527642,113430.15516742267937,48647.563798833376495,198557.99927155536716,100902.92956236129976,53678.118387234011607,114213.00996796920663,71010.433844525774475,69355.841467356483918,56126.188658690960438,51141.515199939356535,75158.149312194174854,55340.726823820587015,170434.92396548131364,51184.021114902519912,52847.390422843767738,8164.0115447183779906,32131.159545617905678,10527.274557639759223,16016.004691314819866,37464.006163168203784,17305.392412294007954,27152.515508221706114,9018.0087801584686531,5000.0136874455592988,5037.4175621096210307,18377.012057730255037,8412.8986135278846632,3325.0142219772537828,8671.0716659877998609,15834.005210195169639
5,65540.849389215320116,109988.01409780395625,97032.218832704907982,603502.93293310026638,314447.68836048769299,137239.66485571948579,82975.408660646251519,141630.24583330049063,76671.069346428907011,76723.766011271989555,510082.23701007297495,80487.324245219351724,118048.05714710000029,165720.92659559549065,47680.483693317437428,54725.709184257866582,169311.53085911183734,158113.33031187826418,154939.48159085900988,166284.3393448794086,202466.05905896538752,67245.403377982234815,113282.82048902666429,48589.742287577122624,198316.20851149290684,100766.13030994150904,53613.703645019937539,113983.02702784197754,70915.550551968073705,69265.420219228384667,56058.568012151175935,51038.650445314182434,75006.77857827070693,55229.499134022589715,170173.1537311776483,51081.156452328643354,52784.269617429483333,8164.010318828387426,32061.112769027735339,10149.277399167973272,15444.008298109209136,36126.010418048070278,16648.396118849712366,27033.348251618885115,8752.8160381720717851,4800.0164233340874489,4850.4203758950470728,17710.020342880146927,8080.9020869321620921,3192.0171273963696876,8526.3951529456135177,15288.008572419228585
6,65408.71387803783,109766.39399992660037,96836.524015741015319,602288.6200374396285,314007.51932724675862,137076.94489616915234,82861.284410505308188,141463.42632065818179,76516.353489235232701,76622.507316596180317,509403.49012069887249,80325.08152057560801,117809.71113551403687,165526.60109011552413,47622.974251198393176,54615.317679080180824,168970.31967722025001,157794.69936357659753,154760.42183645340265,166088.1631873997103,202057.9433624567173,67159.459934820159106,113136.09917748758744,48491.895368723242427,197916.45585904672043,100630.8117648040643,53505.821127758455987,113753.04407518156222,70821.741404302985757,69175.762697260055575,55945.66762226595165,50977.241270842234371,74855.407901422135183,55162.77801310740324,169909.91681019298267,50978.291765063433559,52720.949323374778032,7850.0134054039272087,32061.112921409712726,9771.2805865138561785,14985.367118326703348,36126.008426389089436,15991.400060109906917,27033.345929355087719,8418.8190930893870245,4600.0193648973090603,4663.423302659233741,17710.019500175167195,7748.9054075471158285,3059.0200448419923305,8381.7239796306603239,14742.012208469355755
7,65326.472067996437545,109623.9185293623741,96707.013044844119577,601556.07877695770003,313574.89128962240648,136800.1290502997872,82748.885565250689979,141295.59888872804004,76416.57878560035897,76522.73175450542476,508741.86252809735015,80216.488690214668168,117659.81595583799935,165331.06825541748549,47565.700059455208248,54549.518093706123182,168769.94478766544489,157608.51969040514086,154580.91075957284193,165893.20548456665711,201811.15848011235357,67074.570603235813905,112989.6740124176722,48433.644304245623061,197516.7032380575547,100496.88149232380965,53441.533213839611562,113605.88615629335982,70729.08771677124605,69087.084859567738022,55878.234085022901127,50874.376508230459876,74755.83903984920471,55096.235219411624712,169707.42787222340121,50917.215771881921683,52657.856740826558962,7850.0135593448876534,32061.112980697671446,9771.2806534635346907,14985.367201846465832,36126.00758611252968,15991.39899399967544,27033.345229933540395,8418.8191524312842375,4600.0194067543307028,4663.4237801387744184,17416.14073343610653,7748.904910081108028,3059.0199214242516064,8360.5271923532891378,14196.015340518539233
8,65244.262166192063887,109481.49103444616776,96577.900605696981074,600815.40331138647161,313147.41433398873778,136634.38999440852785,82637.020526111446088,141126.91110398428282,76317.242412916180911,76423.394507064396748,508076.26911874086363,80108.349937460152432,117509.80396627061418,165133.80310329206986,47508.470723780985281,54483.607625154829293,168567.17534683720442,157420.06335098762065,154398.49477067697444,165695.47148624443798,201561.91498857008992,66989.644061170562054,112843.40727636771044,48375.207004711934133,197272.77233219720074,100363.40636225962953,53376.964267164417834,113458.7953276806802,70636.789220190199558,68998.65337078164157,55810.214004281566304,50812.88285198250378,74655.26504613259749,55028.990679704351351,169502.63447653388721,50855.852174343985098,52594.597981871869706,8121.935745581455194,32061.112107901073614,9771.2807475074405374,14985.367899132354069,36126.006896265920659,16560.359018087896402,27033.344753681154543,8708.061493170023823,4600.0195009939243391,4663.4235193343138235,17993.755777551803476,8036.4143189019223428,3174.1964766985292954,8399.3039581368357176,14668.848804084213043
9,65161.809667184774298,109339.3966028954892,96449.517347988803522,600071.12765926227439,312722.6903153588064,136467.48936291929567,82525.855243111785967,140956.59549640942714,76218.021635747849359,76324.172887007778627,507414.67007011896931,80000.889518388517899,117359.7220038746309,164933.8295967101003,47450.826187255021068,54416.985083756684617,168361.36547528940719,157229.03765602424392,154213.2846530159004,165494.83648901243578,201309.52297770811128,66904.592527946166229,112697.06743828524486,48316.372156269739207,197025.3043668854225,100230.74569347020588,53311.644391702917346,113311.75745514202572,70544.582844838223536,68910.068324455132824,55741.520941863323969,50750.798619214059727,74554.785369104283745,54961.148308117444685,169291.30655815594946,50793.806410444682115,52530.543826473141962,8144.5445289389726895,33106.820351245711208,10098.626714085850836,15480.717463035874971,37284.713090180703148,17129.318408033264859,27033.342071073067928,8997.3035907273733756,4773.2180513073353723,4663.4231666980786031,18571.372762953375059,8323.9236531264741643,3289.3730365022388469,8670.3879698003620433,15141.682059423699684
