Timestep,AGG_OF_37,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,4914123.3506573000923,9420,36870,11340,17655.351999999998952,40140,19710,28890,10309.244000000000597,6000,5610,20010,9960,3990,9780,16852.835999999999331
1,4908125.4872246002778,9420,36870,11340,17655.351999999998952,40140,19710,28890,10309.244000000000597,6000,5610,20010,9960,3990,9780,16852.835999999999331
2,4901909.1706370962784,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
3,4897091.4080443959683,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
4,4892177.4456316959113,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
5,4886731.6333089955151,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
6,4879115.070146295242,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
7,4870475.3573835948482,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
8,4864190.1944508943707,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
9,4861981.0809581940994,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
10,4860904.7176354937255,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
11,4859468.6531727937981,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
12,4858341.1382000939921,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
13,4857675.422377393581,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
14,4856017.4055246934295,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
15,4853821.2886619931087,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
16,4851628.7713392935693,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
17,4849382.8533065933734,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
18,4847062.6354838935658,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
19,4843742.2173711936921,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
20,4835754.4992084940895,9420,36870,11340,17655.351999999998952,40569.841909999973723,19710,28890,10598.488000000001193,6000,5610,20010,9960,4105.1779999999998836,9780,16852.835999999999331
21,4826019.5543957939371,9420,36870,11340,17160,40141.748549999960233,19710,28890,10264.488000000001193,6000,5610,20010,9960,3990,9780,16852.835999999999331
22,4816284.6095830937847,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
23,4807762.1922303941101,9420,36870,11340,17160,40140,19710,28890,10020,6000,5610,20010,9960,3990,9780,16380
