Timestep,G0021,G0029,G0030,G0031,G0057,G0064,G0094,G0135,G0156,G0158,G0161,G0214,G0221,G0222,G0224,G0226,G0232,G0233,G0280,G0289,G0293,G0342,G0369,G0398,G0437,G0444,G0458,G0594,G0602,G0637,G0651,G0674,G0706,G0709,G0741,G0743,G0912,G0019,G0070,G0095,G0104,G0155,G0162,G0281,G0302,G0323,G0563,G0656,G0657,G0705,G0740,G0853
0,66164.32693489351368,110971.81588225280575,97990.206693085667212,608041.80296732857823,317421.26893600978656,138610.07939650153276,83752.31366358671221,142797.69476441389997,77470.889692684737383,77470.889692684737383,514657.97294158738805,81239.743664488123613,119347.04766943614231,167085.86622942425311,48157.579879550627084,55276.526798254766618,170854.72020036703907,159548.15799660613993,156198.06588441759232,167504.628298174066,204355.64613442315022,67839.373266724316636,114321.90872748744732,48995.102650521119358,200168.02693777810782,101759.06036579702049,54020.241825140648871,115159.43199894479767,71608.227810417520232,69933.181484411281417,56532.810789521863626,51507.67254627335933,75795.843262600319576,55695.287826564868737,171692.24422036952456,51507.672468549768382,53182.718695465002384,9202.8233773579231638,36383.339964806735225,11080.459672606102686,16757.045423886844219,39479.873547938710544,19344.933067766356544,28363.691814508056268,9813.1827909632575029,5868.2852438379150044,5509.5122924748184232,19722.892116755356255,9813.4958796450209775,3926.3684342281121644,9629.5607494748310273,16126.227651605588107
1,66190.189060470846016,111015.19360553041042,98028.509485711736488,608279.48486053035595,317545.34210898092715,138664.26043244762695,83785.051439451155602,142853.51217745881877,77501.171583379502408,77501.171583379502408,514859.15125965711195,81271.498955933260731,119393.69964977093332,167151.17805493608466,48176.403710337712255,55298.133589862307417,170921.5048443316482,159610.52331972424872,156259.12261672542081,167570.10461630806094,204435.52683935270761,67865.890008992530056,114366.59630486210517,49014.253458572624368,200246.26620440586703,101798.83591990916466,54041.357411859971762,115204.4470901471941,71636.218285781258601,69960.517145539648482,56554.907823739638843,51527.806115554267308,75825.470311579832924,55717.05768251556583,171759.35774704895448,51527.805996471040999,53203.506921620311914,8977.3647168898241944,35364.993529771680187,10812.58126240573074,16313.084398117793171,38432.946374978775566,18908.33462633056115,27621.737416567364562,9582.6947264029295184,5734.7073283583622469,5400.7747874156593753,19351.806411500092509,9639.7317958563635329,3860.5308119441369854,9454.9817950440228742,15785.672482298194154
2,66216.051084904145682,111058.57135363615816,98066.812297664451762,608517.16675068833865,317669.41650526574813,138718.4415590854187,83817.789186525697005,142909.32978705546702,77531.453482097422238,77531.453482097422238,515060.32991687895264,81303.254063710424816,119440.35162637618487,167216.49008306051837,48195.227499856890063,55319.740218543964147,170988.28974184949766,159672.88884187876829,156320.17936443226063,167635.58095188465086,204515.40758408760303,67892.406743971150718,114411.2838961527741,49033.404228193452582,200324.50590014315094,101838.61152706379653,54062.472869603159779,115249.46218611348013,71664.208706555480603,69987.852760533234687,56577.004844257193326,51547.939550911702099,75855.097367766866228,55738.82752523155068,171826.47130229053437,51547.939389059625682,53224.295031775109237,8753.343916385427292,34536.156257849244867,10546.959821453510813,15875.281063355723745,37471.936591739686264,18442.880922586555243,26929.978088858719275,9361.1210034135965543,5601.4072767691950503,5295.4880107872359076,19025.438008139699377,9482.1999237821873976,3797.1477971867684573,9291.0080316692256019,15478.589188776990341
3,66241.913041084219003,111101.94913856223866,98105.115155913459603,608754.84861003200058,317793.49187733151484,138772.6227897471108,83850.526928263861919,142965.14758685493143,77561.735397614960675,77561.735397614960675,515261.50879818596877,81335.009069159481442,119487.0036070850183,167281.80230203544488,48214.051291338924784,55341.346998584311223,171055.07488421996823,159735.25455790784326,156381.23613302069134,167701.05734253997798,204595.28841868240852,67918.923495697395992,114455.97150545076875,49052.554974972328637,200402.74635627193493,101878.38721976205125,54083.588230618806847,115294.47729344351683,71692.199103607053985,70015.188351451128256,56599.101871764905809,51568.072882030595792,75884.724448246692191,55760.59735719391756,171893.58488187834155,51568.072679520417296,53245.083014611256658,8530.7464661616304511,33811.335375976930663,10282.353195626068555,15443.682994487095129,36582.517613776959479,17951.749333614123316,26283.342095554329717,9141.3980109862513928,5468.2351705811606735,5191.9062888315238524,18722.820157444057259,9334.0225768007749139,3734.9827424925456398,9132.1600862524192053,15192.447651085498364
4,66267.775005837975186,111145.32692034330103,98143.418010192777729,608992.53047510294709,317917.56710248504533,138826.80401086868369,83883.264671334502054,143020.96535061212489,77592.017312926778686,77592.017312926778686,515462.6876653318177,81366.764090301076067,119533.65558755310485,167347.11448179214494,48232.875060704674979,55362.953741302400886,171121.85999974622973,159797.62025249932776,156442.29290088015841,167766.53374060595524,204675.16926329687703,67945.440252343396423,114500.65911609576142,49071.705725015090138,200480.98667724485858,101918.16289738366322,54104.703601244676975,115339.49239907992887,71720.189503856192459,70042.523945452529006,56621.198904250901251,51588.20621749732527,75914.351536111309542,55782.36718969552021,171960.69845703153987,51588.205984256099327,53265.871000079925579,8307.4099528872138762,33048.893685395531065,10016.761011070982931,15009.096125129839493,35669.445569593270193,17457.686355192163319,25622.198056961104157,8920.201956237810009,5334.7634373175433211,5087.6588237502692209,18417.485882928722276,9184.8778341170418571,3672.7671612422836915,8971.2176806346033118,14899.827465208047215
5,66293.636991855048109,111188.70469066960504,98181.720849965029629,609230.21233743370976,318041.64202673820546,138880.98519872891484,83916.002416381117655,143076.78304693687824,77622.299222213114263,77622.299222213114263,515663.86648297106149,81398.519145149228279,119580.30756690471026,167412.42659404696315,48251.698798451288894,55384.560411883197958,171188.64504273611237,159859.98589009596617,156503.34966205785167,167832.01013317794423,204755.05009842428262,67971.957007952893036,114545.34672278529615,49090.856482026356389,200559.22673602603027,101957.93854802663554,54125.818999319752038,115384.50750090573274,71748.179910889535677,70069.859546564606717,56643.295938877337903,51608.339579040111857,75943.978623126473394,55804.137024462026602,172027.81202391392435,51608.339321433122677,53286.659010323150142,8082.6092056164898167,32212.677424095712922,9749.2541891295113601,14569.743635897331842,34706.078154836468457,16968.638768795946817,24927.561269800513401,8696.0254168861338258,5200.7326225840952247,4981.9719463200408427,18099.592704875027266,9030.7663701071305695,3609.9072909977198833,8806.5320548655017774,14593.210554111903548
6,66319.499040224021883,111232.08220898194122,98220.023566292627947,609467.89470629068092,318165.71855707006762,138935.1664854947303,83948.740142015871243,143132.60085755676846,77652.58116904576309,77652.58116904576309,515865.04562737082597,81430.274172646357329,119626.95953693575575,167477.73885287638404,48270.522812389099272,55406.167212729713356,171255.43025853316067,159922.35171621327754,156564.40649831065093,167897.4865735291678,204834.93107949983096,67998.473849350310047,114590.03417713296949,49110.007269190842635,200637.46771494008135,101997.71400026413903,54146.934393560099124,115429.52253818814643,71776.170356351518421,70097.195181512201088,56665.393108702657628,51628.472853596598725,75973.605653134552995,55825.906956292536051,172094.92553930790746,51628.472631407777953,53307.446990251031821,7858.6671071529772234,31324.993900031655357,9480.5956351153690775,14128.025191772501785,33716.893074652893119,16476.442267217538756,24218.915188727703935,8471.6211650100030965,5068.9166762154563912,4883.0732026532350574,17784.37769368192312,8878.2377459740728227,3551.9954872421553773,8644.8906986466136004,14292.105459586990037
7,66345.361107077231281,111275.45986500626896,98258.3264652313228,609705.57689077965915,318289.79436855076347,138989.34748133117682,83981.477900968166068,143188.41835964776692,77682.863120102018001,77682.863120102018001,516066.22460039536236,81462.029273709675181,119673.61145265861705,167543.05082060483983,48289.346860362769803,55427.77396939733444,171322.21490558792721,159984.71716968977125,156625.4632199908956,167962.9628176978149,204914.81168013479328,68024.990700555543299,114634.72169070178643,49129.158083045767853,200715.70715858167387,102037.4896906503709,54168.049807833966042,115474.53758327747346,71804.160828558844514,70124.530838102014968,56687.490268199180719,51648.606170508486684,76003.232715709411423,55847.676889513386413,172162.03895516239572,51648.605962971523695,53328.234999737549515,7637.7770615800718588,30379.659620346214069,9215.8040718562151596,13696.609472428654044,32697.81497896793735,16019.309194915816988,23492.124497350421734,8246.3340462686646788,4938.2775721218777107,4782.5395407784999406,17441.510093200424308,8713.7259311230845924,3491.1100671301137481,8482.2948443834193313,13977.151795382216733
8,66371.223181233814103,111318.83763109965366,98296.629560489891446,609943.25923436065204,318413.87223768915283,139043.52862339830608,84014.215649940902949,143244.23585216866923,77713.145142100634985,77713.145142100634985,516267.40387977083446,81493.784238831562106,119720.26328081509564,167608.36265122695477,48308.170718893699814,55449.380789803071821,171389.00009490450611,160047.08303607749986,156686.51995923242066,168028.4389154035598,204994.69218312637531,68051.507581009660498,114679.40925177154713,49148.308923918782966,200793.94700990343699,102077.26553868684277,54189.165104837738909,115519.55257779892418,71832.151295742034563,70151.866491680630133,56709.587433408145444,51668.739233645261265,76032.859785827837186,55869.44683565847663,172229.15226563325268,51668.739166386825673,53349.022897329501575,7499.2839056174925645,30011.19583574121134,9033.7039863783538749,13508.896464262368681,32277.687514857101633,15769.289282440427996,23117.313633676814788,8090.6037980360970323,4830.1058593346424459,4697.1731591046545873,17199.189663326102163,8585.6002043199459877,3433.3935966298599851,8354.8218196395537234,13773.931161054211771
9,66397.085596526303561,111362.2155183400464,98334.932856432555127,610180.94381938129663,318537.9513023479376,139097.71015047046239,84046.953420529185678,143300.05379494305816,77743.427338777750265,77743.427338777750265,516468.58223942329641,81525.538999999916996,119766.91510532774555,167673.67485266455333,48326.994277367055474,55470.987133115137112,171455.78594113496365,160109.44925344851799,156747.57682983050472,168093.91516324874829,205074.57305063426611,68078.024628641578602,114724.09688833534892,49167.459959204497864,200872.19003929142491,102117.04171398891776,54210.280290312788566,115564.56757094275963,71860.141834408816067,70179.202262158607482,56731.684731723209552,51688.872228558735515,76062.48698092950508,55891.216838870073843,172296.26560989007703,51688.87222894088336,53369.810620386175287,7499.1536627649420552,30010.668921557055,9033.5410651413749292,13508.648555996609502,32277.31718596488281,15768.987448404413954,23116.849946707374329,8090.4091479866665395,4829.9686094563667211,4697.0061172391351647,17198.753663466690341,8585.3919847438901343,3433.1618193594931654,8354.6366041604087513,13773.619188509555897
