Timestep,Node_0
0,23637.644679999986693
1,22273.145110000026762
2,21864.021500000002561
3,21490.171849999987899
4,21233.428970000019035
5,21871.156809999989491
6,23536.884200000014971
7,26127.859019999974407
8,29155.89889000002222
9,31526.556469999977708
10,32706.897829999987152
11,32831.866419999983918
12,33435.995860000017274
13,32966.604189999983646
14,33044.091639999976906
15,32773.700360000060755
16,31077.063180000033753
17,31640.033010000013746
18,32774.942859999966458
19,33411.497539999982109
20,33697.323799999983748
21,33884.108570000018517
22,31508.14060999999856
23,28318.683439999978873
