Timestep,Node_0
0,21290.003920000010112
1,20265.003789999977016
2,19739.003669999983686
3,19737.003810000001977
4,20019.003819999976258
5,22309.00427000000127
6,26936.005009999986214
7,29996.005749999982072
8,30695.00577999998859
9,30455.005640000010317
10,30161.005640000003041
11,29740.005539999991015
12,29998.005650000010064
13,29879.005569999982981
14,29744.005539999965549
15,30030.005770000017947
16,30611.005790000006527
17,31954.006029999974999
18,32722.006150000004709
19,33205.006430000044929
20,32991.00606999998854
21,30137.005800000020827
22,26951.005080000009912
23,25168.004699999990407
