Timestep,Node_0
0,24213.212680000000546
1,22950.234519999994518
2,22129.655320000016218
3,21595.281409999981406
4,21316.281179999990854
5,21701.05645999999615
6,22863.775729999964824
7,25064.482290000018111
8,27907.911989999982325
9,31114.281230000011419
10,33570.662859999967623
11,36052.435740000000806
12,37312.742590000023483
13,37743.148750000065775
14,38370.819459999984247
15,38961.643090000019583
16,38933.570109999971464
17,37653.901059999931022
18,36242.818740000038815
19,34303.906559999981255
20,32625.206090000017866
21,30800.505909999988944
22,30077.205470000008063
23,28646.605649999979505
